Time (msec),Engine Speed (rpm),A/F Correction #1 (%),A/F Learning #1 (%),Battery Voltage (V),Coolant Temperature (F),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Mass Airflow (g/s),Throttle Opening Angle (%),Knock Correction Advance (degrees),Engine Load (Calculated) (g/rev),Injector Duty Cycle (%),Ignition Total Timing (degrees),Intake Air Temperature (F),A/F Sensor #1 (AFR),Manifold Relative Pressure (psi),Intake VVT Advance Angle Right (degrees),Atmospheric Pressure (psi),Manifold Absolute Pressure (psi),Idle Switch (On/Off),Rear O2 Sensor Rich Signal (On/Off),Air Conditioning Switch (On/Off)
32088,768,3.12,0.00,13.60,180,0.00,3.55,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
32157,711,3.12,0.00,13.68,180,0.00,3.55,3.53,0.00,0.30,1.37,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
32226,707,3.12,0.78,13.60,180,0.00,3.55,3.53,0.00,0.30,1.36,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
32295,714,3.12,0.78,13.68,180,0.00,3.55,3.53,0.00,0.30,1.35,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
32364,707,3.12,0.78,13.60,180,0.00,3.53,3.53,0.00,0.30,1.36,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
32433,702,3.12,0.78,13.68,180,0.00,3.53,3.53,0.00,0.30,1.36,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
32502,714,3.12,0.78,13.60,180,0.00,3.55,3.53,0.00,0.30,1.37,16.50,95,14.59,-7.25,0,14.36,7.11,1,0,0
32571,716,3.12,0.78,13.60,180,0.00,3.53,3.53,0.00,0.30,1.38,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
32640,712,3.12,0.78,13.52,180,0.00,3.53,3.53,0.00,0.30,1.36,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
32709,704,3.12,0.78,13.68,180,0.00,3.53,3.53,0.00,0.30,1.35,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
32778,705,3.12,0.78,13.60,180,0.00,3.53,3.53,0.00,0.30,1.35,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
32847,766,2.34,0.78,13.68,180,0.00,3.55,3.53,0.00,0.30,1.36,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
32916,700,2.34,0.78,13.60,180,0.00,3.55,3.53,0.00,0.30,1.34,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
32986,699,2.34,0.78,13.60,180,0.00,3.55,3.53,0.00,0.31,1.33,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
33054,692,2.34,0.78,13.76,180,0.00,3.55,3.53,0.00,0.31,1.33,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
33123,688,2.34,0.78,13.60,180,0.00,3.55,3.53,0.00,0.31,1.32,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
33192,679,2.34,0.78,13.60,180,0.00,3.55,3.53,0.00,0.31,1.32,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
33261,687,2.34,0.78,13.60,180,0.00,3.55,3.53,0.00,0.31,1.32,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
33330,684,2.34,0.78,13.60,180,0.00,3.55,3.53,0.00,0.31,1.31,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
33399,680,2.34,0.78,13.60,180,0.00,3.55,3.53,0.00,0.31,1.45,17.50,95,14.59,-7.11,0,14.36,7.11,1,0,0
33469,688,2.34,0.78,13.60,180,0.00,3.55,3.53,0.00,0.31,1.48,17.00,95,14.59,-7.11,0,14.36,7.25,1,0,0
33538,687,2.34,0.78,13.68,180,0.00,3.55,3.53,0.00,0.31,1.47,17.00,95,14.59,-7.11,0,14.36,7.25,1,0,0
33606,691,2.34,0.78,13.60,180,0.00,3.55,3.53,0.00,0.31,1.47,17.00,95,14.59,-7.11,0,14.36,7.25,1,0,0
33675,693,2.34,0.78,13.60,180,0.00,3.55,3.53,0.00,0.31,1.46,17.00,95,14.70,-7.11,0,14.36,7.25,1,0,0
33744,688,2.34,0.78,13.60,180,0.00,3.55,3.53,0.00,0.31,1.47,17.00,95,14.70,-7.11,0,14.36,7.25,1,0,0
33813,689,2.34,0.78,13.60,180,0.00,3.55,3.53,0.00,0.31,1.48,17.00,95,14.70,-7.11,0,14.36,7.25,1,0,0
33882,698,2.34,0.78,13.60,180,0.00,3.58,3.53,0.00,0.31,1.49,17.00,95,14.70,-7.11,0,14.36,7.25,1,0,0
33951,703,2.34,0.78,13.60,180,0.00,3.55,3.53,0.00,0.31,1.50,17.00,95,14.70,-7.11,0,14.36,7.25,1,0,0
34020,645,2.34,0.78,13.60,180,0.00,3.55,3.53,0.00,0.31,1.34,17.00,95,14.70,-7.11,0,14.36,7.25,1,0,0
34089,703,2.34,0.78,13.68,180,0.00,3.55,3.53,0.00,0.30,1.35,17.00,95,14.70,-7.11,0,14.36,7.11,1,0,0
34158,708,2.34,0.78,13.52,180,0.00,3.55,3.53,0.00,0.30,1.36,16.50,95,14.70,-7.11,0,14.36,7.11,1,0,0
34227,720,2.34,0.78,13.76,180,0.00,3.58,3.53,0.00,0.30,1.38,16.50,95,14.70,-7.11,0,14.36,7.11,1,0,0
34297,723,2.34,0.78,13.60,180,0.00,3.58,3.53,0.00,0.30,1.39,16.00,95,14.70,-7.11,0,14.36,7.11,1,0,0
34366,722,2.34,0.78,13.60,180,0.00,3.55,3.53,0.00,0.30,1.37,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
34434,722,2.34,0.78,13.68,180,0.00,3.58,3.53,0.00,0.30,1.39,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
34504,715,2.34,0.78,13.68,180,0.00,3.58,3.53,0.00,0.30,1.37,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
34572,712,2.34,0.78,13.60,180,0.00,3.58,3.53,0.00,0.30,1.38,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
34641,714,2.34,0.78,13.76,180,0.00,3.58,3.53,0.00,0.30,1.37,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
34710,721,2.34,0.78,13.60,180,0.00,3.58,3.53,0.00,0.30,1.38,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
34779,717,2.34,0.78,13.68,180,0.00,3.55,3.53,0.00,0.30,1.37,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
34848,711,2.34,0.78,13.68,180,0.00,3.58,3.53,0.00,0.30,1.37,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
34917,700,2.34,0.78,13.60,180,0.00,3.58,3.53,0.00,0.30,1.34,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
34986,763,2.34,0.78,13.68,180,0.00,3.58,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
35056,705,2.34,0.78,13.60,180,0.00,3.58,3.53,0.00,0.31,1.35,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
35125,709,2.34,0.78,13.60,180,0.00,3.58,3.53,0.00,0.31,1.34,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
35193,704,2.34,0.78,13.68,180,0.00,3.58,3.53,0.00,0.31,1.35,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
35262,704,2.34,0.78,13.60,180,0.00,3.55,3.53,0.00,0.30,1.35,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
35331,694,2.34,0.78,13.60,180,0.00,3.58,3.53,0.00,0.31,1.35,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
35401,701,2.34,0.78,13.68,180,0.00,3.58,3.53,0.00,0.31,1.35,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
35470,704,2.34,0.78,13.60,180,0.00,3.58,3.53,0.00,0.31,1.34,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
35538,700,2.34,0.78,13.68,180,0.00,3.58,3.53,0.00,0.31,1.34,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
35607,696,2.34,0.78,13.52,180,0.00,3.58,3.53,0.00,0.31,1.34,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
35677,695,2.34,0.78,13.52,180,0.00,3.58,3.53,0.00,0.31,1.34,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
35745,708,2.34,0.78,13.68,180,0.00,3.55,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
35815,708,2.34,0.78,13.60,180,0.00,3.58,3.53,0.00,0.31,1.36,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
35883,716,2.34,0.78,13.68,180,0.00,3.58,3.53,0.00,0.30,1.36,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
35953,708,2.34,0.78,13.60,180,0.00,3.55,3.53,0.00,0.30,1.36,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
36021,712,2.34,0.78,13.60,180,0.00,3.55,3.53,0.00,0.30,1.37,16.50,95,14.59,-7.25,0,14.36,7.11,1,0,0
36091,718,2.34,0.78,13.68,180,0.00,3.55,3.53,0.00,0.30,1.38,16.50,95,14.59,-7.25,0,14.36,7.11,1,0,0
36159,726,2.34,0.78,13.68,180,0.00,3.58,3.53,0.00,0.30,1.39,16.50,95,14.59,-7.25,0,14.36,7.11,1,0,0
36229,720,2.34,0.78,13.60,180,0.00,3.58,3.53,0.00,0.30,1.37,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
36297,710,2.34,0.78,13.68,180,0.00,3.58,3.53,0.00,0.30,1.36,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
36366,706,2.34,0.78,13.60,180,0.00,3.58,3.53,0.00,0.30,1.35,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
36436,706,1.56,0.78,13.60,180,0.00,3.55,3.53,0.00,0.30,1.37,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
36504,709,2.34,0.78,13.60,180,0.00,3.55,3.53,0.00,0.30,1.36,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
36573,707,1.56,0.78,13.60,180,0.00,3.58,3.53,0.00,0.31,1.36,17.00,95,14.59,-7.25,0,14.36,7.11,1,0,0
36643,701,2.34,0.78,13.68,180,0.00,3.58,3.53,0.00,0.31,1.34,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
36712,698,1.56,0.78,13.68,181,0.00,3.55,3.53,0.00,0.31,1.34,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
36780,697,1.56,0.78,13.68,181,0.00,3.60,3.53,0.00,0.31,1.35,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
36850,699,1.56,0.78,13.60,181,0.00,3.58,3.53,0.00,0.31,1.34,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
36919,697,2.34,0.78,13.60,181,0.00,3.58,3.53,0.00,0.31,1.34,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
36988,640,2.34,0.78,13.68,181,0.00,3.60,3.53,0.00,0.31,1.33,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
37057,700,2.34,0.78,13.68,181,0.00,3.60,3.53,0.00,0.31,1.34,17.00,95,14.70,-7.11,0,14.36,7.11,1,0,0
37126,701,2.34,0.78,13.60,181,0.00,3.58,3.53,0.00,0.30,1.35,17.00,95,14.70,-7.11,0,14.36,7.11,1,0,0
37195,710,2.34,0.78,13.68,181,0.00,3.58,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.11,0,14.36,7.11,1,0,0
37264,711,1.56,0.78,13.60,181,0.00,3.55,3.53,0.00,0.30,1.37,17.00,95,14.70,-7.11,0,14.36,7.11,1,0,0
37332,710,1.56,0.78,13.52,181,0.00,3.58,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
37401,706,1.56,0.78,13.68,181,0.00,3.58,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
37471,707,1.56,0.78,13.60,181,0.00,3.58,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
37539,712,1.56,0.78,13.68,181,0.00,3.60,3.53,0.00,0.30,1.37,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
37608,722,1.56,0.78,13.60,181,0.00,3.58,3.53,0.00,0.30,1.39,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
37677,713,1.56,0.78,13.60,181,0.00,3.58,3.53,0.00,0.30,1.37,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
37747,712,1.56,0.78,13.68,181,0.00,3.58,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
37815,705,1.56,0.78,13.60,181,0.00,3.58,3.53,0.00,0.30,1.35,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
37885,712,1.56,0.78,13.60,181,0.00,3.58,3.53,0.00,0.30,1.37,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
37954,720,1.56,0.78,13.76,181,0.00,3.58,3.53,0.00,0.30,1.38,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
38023,718,1.56,0.78,13.60,181,0.00,3.58,3.53,0.00,0.30,1.38,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
38092,724,1.56,0.78,13.60,181,0.00,3.58,3.53,0.00,0.30,1.37,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
38161,718,1.56,0.78,13.68,181,0.00,3.58,3.53,0.00,0.30,1.38,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
38230,718,1.56,0.78,13.60,181,0.00,3.58,3.53,0.00,0.30,1.38,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
38299,719,1.56,0.78,13.60,181,0.00,3.58,3.53,0.00,0.30,1.40,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
38368,725,1.56,0.78,13.68,181,0.00,3.58,3.92,0.00,0.30,1.39,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
38437,722,1.56,0.78,13.60,181,0.00,3.58,3.53,0.00,0.30,1.39,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
38506,719,1.56,0.78,13.52,181,0.00,3.55,3.53,0.00,0.30,1.38,17.00,95,14.70,-7.25,0,14.36,6.96,1,0,0
38574,710,1.56,0.78,13.68,181,0.00,3.55,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
38644,712,1.56,0.78,13.60,181,0.00,3.55,3.53,0.00,0.30,1.37,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
38714,718,1.56,0.78,13.60,181,0.00,3.55,3.53,0.00,0.30,1.38,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
38782,722,1.56,0.78,13.60,181,0.00,3.58,3.53,0.00,0.30,1.39,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
38851,719,1.56,0.78,13.60,181,0.00,3.58,3.53,0.00,0.30,1.38,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
38920,720,1.56,0.78,13.68,181,0.00,3.55,3.53,0.00,0.30,1.37,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
38989,714,1.56,0.78,13.68,181,0.00,3.58,3.53,0.00,0.30,1.37,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
39057,709,1.56,0.78,13.60,181,0.00,3.55,3.53,0.00,0.30,1.38,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
39127,714,1.56,0.78,13.68,181,0.00,3.55,3.53,0.00,0.30,1.37,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
39196,708,1.56,0.78,13.60,181,0.00,3.55,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
39266,708,1.56,0.78,13.52,181,0.00,3.55,3.53,0.00,0.30,1.35,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
39334,704,1.56,0.78,13.76,181,0.00,3.58,3.53,0.00,0.30,1.35,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
39403,708,1.56,0.78,13.60,181,0.00,3.55,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
39473,706,1.56,0.78,13.68,181,0.00,3.55,3.53,0.00,0.30,1.37,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
39542,712,1.56,0.78,13.68,181,0.00,3.55,3.53,0.00,0.30,1.37,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
39610,712,1.56,0.78,13.60,181,0.00,3.55,3.53,0.00,0.30,1.37,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
39679,640,1.56,0.78,13.68,181,0.00,3.55,3.53,0.00,0.30,1.35,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
39748,696,1.56,0.78,13.60,181,0.00,3.55,3.53,0.00,0.30,1.34,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
39817,693,1.56,0.78,13.60,181,0.00,3.55,3.53,0.00,0.30,1.35,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
39886,696,1.56,0.78,13.68,181,0.00,3.55,3.53,0.00,0.31,1.34,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
39955,694,1.56,0.78,13.60,181,0.00,3.55,3.53,0.00,0.31,1.33,17.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
40024,688,1.56,0.78,13.68,181,0.00,3.55,3.53,0.00,0.31,1.32,17.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
40093,687,1.56,0.78,13.60,181,0.00,3.55,3.53,0.00,0.31,1.32,17.00,95,14.70,-7.11,0,14.36,7.11,1,0,0
40162,694,1.56,0.78,13.52,181,0.00,3.55,3.53,0.00,0.31,1.34,17.00,95,14.70,-7.11,0,14.36,7.11,1,0,0
40231,706,1.56,0.78,13.68,181,0.00,3.55,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.11,0,14.36,7.11,1,0,0
40300,708,1.56,0.78,13.52,181,0.00,3.55,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.11,0,14.36,7.25,1,0,0
40369,713,1.56,0.78,13.68,181,0.00,3.55,3.53,0.00,0.30,1.35,17.00,95,14.70,-7.11,0,14.36,7.11,1,0,0
40438,708,1.56,0.78,13.60,181,0.00,3.55,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.11,0,14.36,7.11,1,0,0
40506,713,1.56,0.78,13.60,181,0.00,3.55,3.53,0.00,0.30,1.38,16.50,95,14.70,-7.11,0,14.36,7.11,1,0,0
40576,723,1.56,0.78,13.68,181,0.00,3.55,3.53,0.00,0.30,1.39,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
40644,725,1.56,0.78,13.68,181,0.00,3.55,3.53,0.00,0.30,1.39,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
40714,734,1.56,0.78,13.60,181,0.00,3.55,3.53,0.00,0.29,1.39,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
40783,732,1.56,0.78,13.68,181,0.00,3.55,3.53,0.00,0.29,1.40,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
40851,727,1.56,0.78,13.68,181,0.00,3.55,3.53,0.00,0.29,1.40,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
40921,723,1.56,0.78,13.60,181,0.00,3.58,3.53,0.00,0.29,1.40,16.50,95,14.70,-7.25,0,14.36,6.96,1,0,0
40990,727,1.56,0.78,13.68,181,0.00,3.55,3.53,0.00,0.29,1.40,16.50,95,14.70,-7.25,0,14.36,6.96,1,0,0
41059,735,1.56,0.78,13.60,181,0.00,3.58,3.53,0.00,0.30,1.41,16.50,95,14.70,-7.40,0,14.36,6.96,1,0,0
41128,732,1.56,0.78,13.60,181,0.00,3.55,3.53,0.00,0.29,1.40,16.50,95,14.70,-7.40,0,14.36,6.96,1,0,0
41197,733,1.56,0.78,13.60,181,0.00,3.58,3.53,0.00,0.30,1.40,16.50,95,14.70,-7.40,0,14.36,6.96,1,0,0
41266,728,1.56,0.78,13.76,181,0.00,3.55,3.53,0.00,0.29,1.40,16.50,95,14.70,-7.40,0,14.36,6.96,1,0,0
41335,724,1.56,0.78,13.60,181,0.00,3.55,3.53,0.00,0.29,1.39,16.50,95,14.70,-7.40,0,14.36,6.96,1,0,0
41404,724,1.56,0.78,13.68,181,0.00,3.55,3.53,0.00,0.29,1.41,16.50,95,14.70,-7.40,0,14.36,6.96,1,0,0
41474,728,1.56,0.78,13.68,181,0.00,3.55,3.53,0.00,0.29,1.40,16.50,95,14.70,-7.40,0,14.36,6.96,1,0,0
41543,730,1.56,0.78,13.68,181,0.00,3.55,3.53,0.00,0.29,1.40,17.00,95,14.70,-7.40,0,14.36,6.96,1,0,0
41611,732,1.56,0.78,13.60,181,0.00,3.55,3.53,0.00,0.29,1.39,17.00,95,14.70,-7.40,0,14.36,6.96,1,0,0
41680,726,1.56,0.78,13.68,181,0.00,3.55,3.53,0.00,0.29,1.39,17.00,95,14.70,-7.40,0,14.36,6.96,1,0,0
41749,723,1.56,0.78,13.60,181,0.00,3.53,3.53,0.00,0.29,1.39,16.50,95,14.70,-7.40,0,14.36,6.96,1,0,0
41818,714,1.56,0.78,13.60,181,0.00,3.53,3.53,0.00,0.29,1.38,17.00,95,14.70,-7.40,0,14.36,6.96,1,0,0
41886,726,1.56,0.78,13.68,181,0.00,3.53,3.53,0.00,0.30,1.39,17.00,95,14.70,-7.40,0,14.36,6.96,1,0,0
41956,716,1.56,0.78,13.52,181,0.00,3.53,3.53,0.00,0.29,1.37,17.00,95,14.70,-7.40,0,14.36,6.96,1,0,0
42025,713,1.56,0.78,13.68,181,0.00,3.55,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.40,0,14.36,6.96,1,0,0
42094,705,1.56,0.78,13.60,181,0.00,3.53,3.53,0.00,0.30,1.35,17.00,95,14.70,-7.40,0,14.36,6.96,1,0,0
42164,703,1.56,0.78,13.68,181,0.00,3.53,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.25,0,14.36,6.96,1,0,0
42232,711,1.56,0.78,13.60,181,0.00,3.55,3.53,0.00,0.30,1.37,17.00,95,14.70,-7.25,0,14.36,6.96,1,0,0
42302,712,1.56,0.78,13.60,181,0.00,3.53,3.53,0.00,0.30,1.37,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
42371,716,1.56,0.78,13.52,181,0.00,3.55,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
42438,704,1.56,0.78,13.68,181,0.00,3.55,3.53,0.00,0.30,1.35,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
42508,702,1.56,0.78,13.60,181,0.00,3.53,3.53,0.00,0.30,1.35,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
42577,704,1.56,0.78,13.60,181,0.00,3.53,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
42646,710,1.56,0.78,13.60,181,0.00,3.53,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
42715,715,1.56,1.56,13.60,181,0.00,3.53,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
42784,715,1.56,1.56,13.68,181,0.00,3.53,3.53,0.00,0.30,1.37,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
42854,713,1.56,1.56,13.60,181,0.00,3.55,3.53,0.00,0.30,1.37,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
42923,722,1.56,1.56,13.68,181,0.00,3.53,3.53,0.00,0.29,1.39,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
42991,728,1.56,1.56,13.68,181,0.00,3.53,3.53,0.00,0.29,1.40,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
43060,725,1.56,1.56,13.60,181,0.00,3.53,3.53,0.00,0.29,1.39,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
43130,715,1.56,1.56,13.60,181,0.00,3.53,3.53,0.00,0.30,1.37,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
43198,710,1.56,1.56,13.76,181,0.00,3.53,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
43267,706,1.56,1.56,13.60,181,0.00,3.55,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
43337,762,1.56,1.56,13.60,181,0.00,3.53,3.53,0.00,0.30,1.35,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
43404,706,1.56,1.56,13.60,181,0.00,3.53,3.53,0.00,0.31,1.35,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
43474,709,1.56,1.56,13.60,181,0.00,3.53,3.53,0.00,0.30,1.35,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
43544,698,1.56,1.56,13.68,181,0.00,3.55,3.53,0.00,0.30,1.34,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
43612,697,1.56,1.56,13.60,181,0.00,3.55,3.53,0.00,0.30,1.34,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
43681,700,1.56,1.56,13.60,181,0.00,3.55,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
43751,706,1.56,1.56,13.60,181,0.00,3.55,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
43820,704,1.56,1.56,13.60,181,0.00,3.53,3.53,0.00,0.30,1.35,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
43888,640,1.56,1.56,13.60,181,0.00,3.55,3.53,0.00,0.31,1.34,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
43957,700,1.56,1.56,13.68,181,0.00,3.55,3.53,0.00,0.30,1.34,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
44027,698,1.56,1.56,13.60,181,0.00,3.55,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.11,0,14.36,7.11,1,0,0
44097,708,1.56,1.56,13.68,181,0.00,3.55,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.11,0,14.36,7.11,1,0,0
44165,709,1.56,1.56,13.60,181,0.00,3.55,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.11,0,14.36,7.11,1,0,0
44233,713,1.56,1.56,13.52,181,0.00,3.55,3.53,0.00,0.30,1.36,17.00,95,14.70,-7.11,0,14.36,7.11,1,0,0
44302,704,1.56,1.56,13.68,181,0.00,3.55,3.53,0.00,0.30,1.35,17.00,95,14.70,-7.11,0,14.36,7.11,1,0,0
44372,711,1.56,1.56,13.60,181,0.00,3.55,3.53,0.00,0.30,1.37,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
44440,718,1.56,1.56,13.60,181,0.00,3.55,3.53,0.00,0.29,1.39,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
44510,725,1.56,1.56,13.60,181,0.00,3.55,3.53,0.00,0.30,1.39,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
44578,726,1.56,1.56,13.68,181,0.00,3.55,3.53,0.00,0.30,1.39,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
44648,722,1.56,1.56,13.60,181,0.00,3.55,3.53,0.00,0.30,1.38,16.50,95,14.70,-7.25,0,14.36,7.11,1,0,0
44717,717,1.56,1.56,13.68,181,0.00,3.55,3.53,0.00,0.29,1.38,17.00,95,14.70,-7.25,0,14.36,7.11,1,0,0
