Time (msec),A/F Correction #1 (%),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Engine Load (Calculated) (g/rev),Fuel Injector #1 Pulse Width (ms),Mass Airflow (g/s),Throttle Opening Angle (%),Knock Correction Advance (degrees),CL/OL Fueling* (status),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Closed Loop Fueling Target (2-byte)* (lambda),Closed Loop Fueling Target (4-byte)* (estimated AFR),Engine Load (4-Byte)* (g/rev),Feedback Knock Correction (1-byte)** (degrees),Feedback Knock Correction (4-byte)* (degrees),Fuel Injector #1 Pulse Width (4-byte)* (ms),IAM (1-byte)** (multiplier),IAM (4-byte)* (multiplier),Primary Open Loop Map Enrichment (4-byte)* (estimated AFR)
253483,8.59,13.84,163,868,0.29,2.56,4.26,4.31,0.00,8,14.80,1.00,14.70,0.29,0.00,0.00,1.7930,0.5000,0.5000,14.70
253586,8.59,13.76,163,866,0.30,2.56,4.26,4.31,0.00,8,14.70,1.00,14.70,0.29,0.00,0.00,1.7757,0.5000,0.5000,14.70
253691,8.59,13.84,163,854,0.30,2.56,4.26,4.31,0.00,8,14.70,1.00,14.70,0.29,0.00,0.00,1.7740,0.5000,0.5000,14.70
253795,8.59,13.92,163,866,0.30,2.56,4.26,4.31,0.00,8,14.70,1.00,14.70,0.29,0.00,0.00,1.7720,0.5000,0.5000,14.70
253899,8.59,13.84,165,848,0.30,2.56,4.26,4.31,0.00,8,14.70,1.00,14.70,0.29,0.00,0.00,1.7740,0.5000,0.5000,14.70
254003,8.59,13.92,165,856,0.30,2.56,4.26,4.31,0.00,8,14.70,1.00,14.70,0.29,0.00,0.00,1.7783,0.5000,0.5000,14.70
254107,8.59,13.84,165,856,0.30,2.56,4.26,4.31,0.00,8,14.70,1.00,14.70,0.29,0.00,0.00,1.7785,0.5000,0.5000,14.70
254211,8.59,13.84,165,838,0.30,2.56,4.26,4.31,0.00,8,14.70,1.00,14.71,0.29,0.00,0.00,1.7745,0.5000,0.5000,14.70
254315,8.59,13.92,165,855,0.30,2.56,4.26,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7803,0.5000,0.5000,14.70
254420,8.59,13.84,165,835,0.31,2.56,4.26,4.31,0.00,8,14.80,1.00,14.71,0.30,0.00,0.00,1.7785,0.5000,0.5000,14.70
254523,8.59,13.92,165,846,0.30,2.56,4.26,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7855,0.5000,0.5000,14.70
254627,8.59,13.76,165,822,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7833,0.5000,0.5000,14.70
254731,8.59,13.84,165,821,0.31,2.56,4.20,4.31,0.00,8,14.80,1.00,14.71,0.30,0.00,0.00,1.7795,0.5000,0.5000,14.70
254835,8.59,13.84,165,813,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7923,0.5000,0.5000,14.70
254939,8.59,13.84,165,809,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7925,0.5000,0.5000,14.70
255043,8.59,13.92,165,824,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.8070,0.5000,0.5000,14.70
255147,8.59,13.84,165,827,0.30,2.56,4.20,4.31,0.00,8,14.80,1.00,14.71,0.30,0.00,0.00,1.8140,0.5000,0.5000,14.70
255251,8.59,13.84,165,834,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.8028,0.5000,0.5000,14.70
255355,8.59,13.76,165,830,0.30,2.56,4.23,4.31,0.00,8,14.80,1.00,14.71,0.30,0.00,0.00,1.8048,0.5000,0.5000,14.70
255459,7.81,13.84,165,841,0.31,2.56,4.26,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.8030,0.5000,0.5000,14.70
255564,7.81,13.84,165,841,0.30,2.56,4.26,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.8103,0.5000,0.5000,14.70
255668,7.81,13.76,165,852,0.30,2.56,4.26,4.31,0.00,8,14.80,1.00,14.71,0.30,0.00,0.00,1.8025,0.5000,0.5000,14.70
255771,7.81,13.76,165,851,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.8043,0.5000,0.5000,14.70
255877,7.81,13.84,165,862,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.70,0.30,0.00,0.00,1.7850,0.5000,0.5000,14.70
255979,7.81,13.84,165,854,0.29,2.56,4.20,4.31,0.00,8,14.80,1.00,14.70,0.29,0.00,0.00,1.7815,0.5000,0.5000,14.70
256084,7.81,13.84,165,856,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.70,0.29,0.00,0.00,1.7650,0.5000,0.5000,14.70
256187,7.81,13.84,165,850,0.30,2.56,4.23,4.31,0.00,8,14.70,1.00,14.71,0.29,0.00,0.00,1.7657,0.5000,0.5000,14.70
256292,7.81,13.84,165,838,0.30,2.56,4.23,4.31,0.00,8,14.70,1.00,14.71,0.29,0.00,0.00,1.7615,0.5000,0.5000,14.70
256396,7.81,13.84,165,845,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.29,0.00,0.00,1.7608,0.5000,0.5000,14.70
256500,7.81,13.84,165,828,0.30,2.56,4.20,4.31,0.00,8,14.80,1.00,14.71,0.29,0.00,0.00,1.7648,0.5000,0.5000,14.70
256604,8.59,13.84,165,835,0.30,2.56,4.20,4.31,0.00,8,14.80,1.00,14.71,0.30,0.00,0.00,1.7700,0.5000,0.5000,14.70
256708,8.59,13.84,165,815,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7730,0.5000,0.5000,14.70
256811,8.59,13.76,165,821,0.31,2.56,4.23,4.31,0.00,8,14.80,1.00,14.71,0.30,0.00,0.00,1.7828,0.5000,0.5000,14.70
256916,7.81,13.84,165,810,0.31,2.56,4.20,4.31,0.00,8,15.20,1.00,14.71,0.30,0.00,0.00,1.7940,0.5000,0.5000,14.70
257020,8.59,13.84,165,804,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7970,0.5000,0.5000,14.70
257123,8.59,13.92,165,818,0.31,2.56,4.20,4.31,0.00,8,14.80,1.00,14.71,0.30,0.00,0.00,1.8050,0.5000,0.5000,14.70
257228,8.59,13.84,165,806,0.31,2.56,4.20,4.31,0.00,8,14.90,1.00,14.71,0.30,0.00,0.00,1.8083,0.5000,0.5000,14.70
257332,8.59,13.76,165,814,0.31,2.56,4.20,4.31,0.00,8,14.80,1.00,14.71,0.31,0.00,0.00,1.8095,0.5000,0.5000,14.70
257436,7.81,13.84,165,820,0.30,2.56,4.20,4.31,0.00,8,14.80,1.00,14.71,0.31,0.00,0.00,1.8225,0.5000,0.5000,14.70
257540,7.81,13.76,165,820,0.31,2.56,4.23,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.8115,0.5000,0.5000,14.70
257644,7.81,13.92,165,824,0.31,2.56,4.26,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.8137,0.5000,0.5000,14.70
257748,7.81,13.84,165,817,0.31,2.56,4.26,4.31,0.00,8,14.80,1.00,14.71,0.30,0.00,0.00,1.8197,0.5000,0.5000,14.70
257852,7.81,13.76,165,832,0.31,2.56,4.26,4.31,0.00,8,14.70,1.00,14.71,0.31,0.00,0.00,1.8168,0.5000,0.5000,14.70
257956,7.81,13.84,165,826,0.31,2.56,4.26,4.31,0.00,8,14.70,1.00,14.71,0.31,0.00,0.00,1.8208,0.5000,0.5000,14.70
258060,7.81,13.76,165,828,0.31,2.56,4.26,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.8105,0.5000,0.5000,14.70
258164,7.81,13.76,165,829,0.31,2.56,4.26,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.8203,0.5000,0.5000,14.70
258268,7.81,13.84,165,838,0.31,2.56,4.26,4.31,0.00,8,14.60,1.00,14.71,0.30,0.00,0.00,1.8108,0.5000,0.5000,14.70
258372,7.81,13.84,165,828,0.31,2.56,4.26,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.8090,0.5000,0.5000,14.70
258476,7.81,13.84,165,827,0.31,2.56,4.28,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.8117,0.5000,0.5000,14.70
258580,7.81,13.84,165,827,0.31,2.56,4.26,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.8068,0.5000,0.5000,14.70
258684,7.81,13.76,165,833,0.31,2.56,4.26,4.31,0.00,8,14.60,1.00,14.71,0.30,0.00,0.00,1.8113,0.5000,0.5000,14.70
258788,7.81,13.84,165,841,0.30,2.56,4.26,4.31,0.00,8,14.60,1.00,14.70,0.30,0.00,0.00,1.8010,0.5000,0.5000,14.70
258892,7.81,13.76,165,844,0.30,2.56,4.26,4.31,0.00,8,14.60,1.00,14.71,0.30,0.00,0.00,1.8043,0.5000,0.5000,14.70
258996,7.81,13.84,165,850,0.30,2.56,4.26,4.31,0.00,8,14.50,1.00,14.70,0.30,0.00,0.00,1.7897,0.5000,0.5000,14.70
259100,7.03,13.76,165,857,0.30,2.56,4.26,4.31,0.00,8,14.60,1.00,14.70,0.30,0.00,0.00,1.7915,0.5000,0.5000,14.70
259204,7.03,13.76,165,854,0.30,2.56,4.23,4.31,0.00,8,14.50,1.00,14.70,0.30,0.00,0.00,1.7768,0.5000,0.5000,14.70
259308,7.03,13.76,165,835,0.30,2.56,4.23,4.31,0.00,8,14.50,1.00,14.71,0.30,0.00,0.00,1.7652,0.5000,0.5000,14.70
259412,7.03,13.84,165,846,0.31,2.56,4.26,4.31,0.00,8,14.50,1.00,14.70,0.30,0.00,0.00,1.7645,0.5000,0.5000,14.70
259516,7.03,13.92,165,834,0.30,2.56,4.26,4.31,0.00,8,14.60,1.00,14.71,0.30,0.00,0.00,1.7665,0.5000,0.5000,14.70
259620,7.03,13.76,165,831,0.31,2.56,4.23,4.31,0.00,8,14.60,1.00,14.70,0.30,0.00,0.00,1.7640,0.5000,0.5000,14.70
259724,7.03,13.84,165,820,0.31,2.56,4.26,4.31,0.00,8,14.50,1.00,14.71,0.30,0.00,0.00,1.7545,0.5000,0.5000,14.70
259828,7.03,13.92,165,825,0.31,2.56,4.26,4.31,0.00,8,14.60,1.00,14.71,0.30,0.00,0.00,1.7833,0.5000,0.5000,14.70
259932,7.03,13.84,165,828,0.30,2.56,4.20,4.31,0.00,8,14.60,1.00,14.71,0.30,0.00,0.00,1.7815,0.5000,0.5000,14.70
260036,7.03,13.84,165,834,0.30,2.56,4.23,4.31,0.00,8,14.60,1.00,14.71,0.30,0.00,0.00,1.7830,0.5000,0.5000,14.70
260140,7.03,13.76,165,840,0.30,2.56,4.20,4.31,0.00,8,14.60,1.00,14.71,0.30,0.00,0.00,1.7723,0.5000,0.5000,14.70
260244,7.03,13.76,165,838,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7708,0.5000,0.5000,14.70
260347,7.03,13.76,165,842,0.30,2.56,4.20,4.31,0.00,8,14.60,1.00,14.71,0.30,0.00,0.00,1.7610,0.5000,0.5000,14.70
260452,7.03,13.84,165,840,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7623,0.5000,0.5000,14.70
260556,7.03,13.84,165,826,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7545,0.5000,0.5000,14.70
260660,7.03,13.84,165,832,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7520,0.5000,0.5000,14.70
260765,7.03,13.76,165,822,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7600,0.5000,0.5000,14.70
260868,7.03,13.84,165,831,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7598,0.5000,0.5000,14.70
260972,7.03,13.84,165,820,0.30,2.56,4.17,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7645,0.5000,0.5000,14.70
261076,7.03,13.76,165,833,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7660,0.5000,0.5000,14.70
261180,7.03,13.84,165,816,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7643,0.5000,0.5000,14.70
261284,7.03,13.76,165,819,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7685,0.5000,0.5000,14.70
261388,7.03,13.84,165,838,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7715,0.5000,0.5000,14.70
261492,7.03,13.84,165,821,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7705,0.5000,0.5000,14.70
261596,7.03,13.76,165,832,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7595,0.5000,0.5000,14.70
261701,7.03,13.84,165,822,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7655,0.5000,0.5000,14.70
261804,7.03,13.76,165,831,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7623,0.5000,0.5000,14.70
261908,7.03,13.84,165,824,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7657,0.5000,0.5000,14.70
262012,7.03,13.84,165,838,0.31,2.56,4.20,4.31,0.00,8,14.60,1.00,14.71,0.30,0.00,0.00,1.7635,0.5000,0.5000,14.70
262117,7.03,13.84,165,834,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7670,0.5000,0.5000,14.70
262221,7.03,13.92,165,834,0.30,2.56,4.20,4.31,0.00,8,14.80,1.00,14.71,0.30,0.00,0.00,1.7640,0.5000,0.5000,14.70
262325,7.03,13.84,165,840,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.70,0.30,0.00,0.00,1.7620,0.5000,0.5000,14.70
262429,7.03,13.84,165,832,0.30,2.56,4.15,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7600,0.5000,0.5000,14.70
262533,7.03,13.76,165,844,0.29,2.56,4.15,4.31,0.00,8,14.70,1.00,14.70,0.30,0.00,0.00,1.7450,0.5000,0.5000,14.70
262637,6.25,13.84,165,826,0.30,2.30,4.17,4.31,0.00,8,14.70,1.00,14.71,0.29,0.00,0.00,1.7370,0.5000,0.5000,14.70
262741,7.03,13.76,165,825,0.31,2.30,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7388,0.5000,0.5000,14.70
262844,7.03,13.84,165,811,0.31,2.56,4.17,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7523,0.5000,0.5000,14.70
262949,7.03,13.84,165,815,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7615,0.5000,0.5000,14.70
263053,7.03,13.84,165,822,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7643,0.5000,0.5000,14.70
263157,7.03,13.76,165,824,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7752,0.5000,0.5000,14.70
263261,7.03,13.84,165,822,0.31,2.56,4.20,4.31,0.00,8,14.80,1.00,14.71,0.30,0.00,0.00,1.7685,0.5000,0.5000,14.70
263365,7.03,13.84,165,818,0.30,2.56,4.20,4.31,0.00,8,14.80,1.00,14.71,0.30,0.00,0.00,1.7745,0.5000,0.5000,14.70
263469,7.03,13.76,165,818,0.31,2.56,4.20,4.31,0.00,8,14.80,1.00,14.71,0.30,0.00,0.00,1.7657,0.5000,0.5000,14.70
263573,7.03,13.84,165,816,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7785,0.5000,0.5000,14.70
263677,7.03,13.76,165,806,0.31,2.56,4.20,4.31,0.00,8,14.80,1.00,14.71,0.30,0.00,0.00,1.7785,0.5000,0.5000,14.70
263781,7.03,13.84,165,818,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7817,0.5000,0.5000,14.70
263885,7.03,13.84,165,816,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7920,0.5000,0.5000,14.70
263989,7.03,13.76,165,826,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7810,0.5000,0.5000,14.70
264093,7.03,13.84,165,814,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7877,0.5000,0.5000,14.70
264197,6.25,13.84,165,817,0.31,2.56,4.20,4.31,0.00,8,14.60,1.00,14.71,0.30,0.00,0.00,1.7795,0.5000,0.5000,14.70
264301,6.25,13.92,165,828,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7837,0.5000,0.5000,14.70
264405,7.03,13.84,165,817,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7820,0.5000,0.5000,14.70
264509,7.03,13.84,165,822,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7763,0.5000,0.5000,14.70
264613,7.03,13.84,165,818,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7783,0.5000,0.5000,14.70
264717,6.25,13.76,165,822,0.31,2.56,4.20,4.31,0.00,8,14.80,1.00,14.71,0.30,0.00,0.00,1.7703,0.5000,0.5000,14.70
264821,6.25,13.92,165,827,0.31,2.56,4.26,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7815,0.5000,0.5000,14.70
264925,6.25,13.92,165,828,0.31,2.56,4.23,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7765,0.5000,0.5000,14.70
265029,7.03,13.84,165,835,0.31,2.56,4.26,4.31,0.00,8,14.70,1.00,14.70,0.30,0.00,0.00,1.7865,0.5000,0.5000,14.70
265133,6.25,13.84,165,831,0.31,2.56,4.23,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7895,0.5000,0.5000,14.70
265237,6.25,13.84,165,836,0.31,2.56,4.26,4.31,0.00,8,14.80,1.00,14.71,0.30,0.00,0.00,1.7745,0.5000,0.5000,14.70
265341,6.25,13.84,165,834,0.30,2.56,4.26,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7845,0.5000,0.5000,14.70
265445,6.25,13.84,167,860,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.70,0.30,0.00,0.00,1.7812,0.5000,0.5000,14.70
265549,6.25,13.76,167,826,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.70,0.30,0.00,0.00,1.7630,0.5000,0.5000,14.70
265653,6.25,13.84,167,827,0.31,2.56,4.23,4.31,0.00,8,14.80,1.00,14.71,0.30,0.00,0.00,1.7455,0.5000,0.5000,14.70
265757,6.25,13.84,167,823,0.31,2.56,4.26,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7652,0.5000,0.5000,14.70
265861,6.25,13.76,167,820,0.31,2.56,4.23,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7737,0.5000,0.5000,14.70
265965,6.25,13.84,167,802,0.32,2.56,4.23,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7660,0.5000,0.5000,14.70
266069,6.25,13.84,167,794,0.32,2.56,4.23,4.31,0.00,8,14.80,1.00,14.71,0.31,0.00,0.00,1.7805,0.5000,0.5000,14.70
266173,6.25,13.84,167,814,0.31,2.56,4.26,4.31,0.00,8,14.80,1.00,14.71,0.31,0.00,0.00,1.7965,0.5000,0.5000,14.70
266277,6.25,13.84,167,804,0.32,2.56,4.23,4.31,0.00,8,14.70,1.00,14.71,0.31,0.00,0.00,1.8003,0.5000,0.5000,14.70
266381,6.25,13.84,167,808,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.31,0.00,0.00,1.8035,0.5000,0.5000,14.70
266484,6.25,13.92,167,818,0.31,2.56,4.20,4.31,0.00,8,14.80,1.00,14.71,0.31,0.00,0.00,1.8030,0.5000,0.5000,14.70
266589,6.25,13.84,167,824,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.31,0.00,0.00,1.8013,0.5000,0.5000,14.70
266693,6.25,13.84,167,829,0.31,2.56,4.23,4.31,0.00,8,14.80,1.00,14.71,0.31,0.00,0.00,1.7837,0.5000,0.5000,14.70
266797,6.25,13.84,167,820,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7888,0.5000,0.5000,14.70
266901,6.25,13.84,167,831,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7775,0.5000,0.5000,14.70
267005,6.25,13.84,167,836,0.30,2.56,4.20,4.31,0.00,8,14.90,1.00,14.71,0.30,0.00,0.00,1.7760,0.5000,0.5000,14.70
267108,6.25,13.84,167,809,0.31,2.56,4.23,4.31,0.00,8,14.80,1.00,14.71,0.30,0.00,0.00,1.7605,0.5000,0.5000,14.70
267213,6.25,13.84,167,830,0.30,2.56,4.20,4.31,0.00,8,14.80,1.00,14.71,0.30,0.00,0.00,1.7740,0.5000,0.5000,14.70
267317,6.25,13.84,167,828,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7740,0.5000,0.5000,14.70
267421,6.25,13.76,167,826,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.70,0.30,0.00,0.00,1.7600,0.5000,0.5000,14.70
267526,6.25,13.68,167,816,0.30,2.56,4.20,4.31,0.00,8,14.80,1.00,14.71,0.30,0.00,0.00,1.7620,0.5000,0.5000,14.70
267629,6.25,13.84,167,816,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7548,0.5000,0.5000,14.70
267733,6.25,13.84,167,821,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7670,0.5000,0.5000,14.70
267837,6.25,13.84,167,810,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7632,0.5000,0.5000,14.70
267941,6.25,13.76,167,807,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7655,0.5000,0.5000,14.70
268045,6.25,13.76,167,794,0.32,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.31,0.00,0.00,1.7752,0.5000,0.5000,14.70
268149,6.25,13.84,167,811,0.31,2.56,4.20,4.31,0.00,8,14.80,1.00,14.71,0.31,0.00,0.00,1.7870,0.5000,0.5000,14.70
268253,6.25,13.84,167,805,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.31,0.00,0.00,1.7763,0.5000,0.5000,14.70
268358,6.25,13.84,167,796,0.32,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.31,0.00,0.00,1.7873,0.5000,0.5000,14.70
268461,6.25,13.76,167,812,0.32,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.31,0.00,0.00,1.7923,0.5000,0.5000,14.70
268565,6.25,13.84,167,811,0.31,2.56,4.20,4.31,0.00,8,14.80,1.00,14.71,0.31,0.00,0.00,1.8005,0.5000,0.5000,14.70
268669,6.25,13.84,167,826,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.31,0.00,0.00,1.7928,0.5000,0.5000,14.70
268773,6.25,13.92,167,828,0.30,2.56,4.20,4.31,0.00,8,14.80,1.00,14.71,0.31,0.00,0.00,1.7895,0.5000,0.5000,14.70
268878,6.25,13.92,167,812,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7800,0.5000,0.5000,14.70
268981,6.25,13.76,167,829,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7755,0.5000,0.5000,14.70
269085,6.25,13.84,167,824,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7763,0.5000,0.5000,14.70
269189,6.25,13.76,167,826,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7592,0.5000,0.5000,14.70
269293,6.25,13.84,167,822,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7670,0.5000,0.5000,14.70
269397,6.25,13.92,167,842,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.70,0.30,0.00,0.00,1.7645,0.5000,0.5000,14.70
269501,5.47,13.84,167,833,0.30,2.56,4.20,4.31,0.00,8,14.70,1.00,14.70,0.30,0.00,0.00,1.7512,0.5000,0.5000,14.70
269605,5.47,13.84,167,830,0.30,2.56,4.20,4.31,0.00,8,14.50,1.00,14.71,0.30,0.00,0.00,1.7540,0.5000,0.5000,14.70
269709,5.47,13.76,167,832,0.30,2.56,4.20,4.31,0.00,8,14.50,1.00,14.70,0.30,0.00,0.00,1.7368,0.5000,0.5000,14.70
269813,5.47,13.76,167,828,0.30,2.56,4.20,4.31,0.00,8,14.60,1.00,14.71,0.30,0.00,0.00,1.7448,0.5000,0.5000,14.70
269917,5.47,13.76,167,826,0.31,2.56,4.20,4.31,0.00,8,14.60,1.00,14.70,0.30,0.00,0.00,1.7388,0.5000,0.5000,14.70
270021,5.47,13.84,167,816,0.31,2.56,4.20,4.31,0.00,8,14.70,1.00,14.71,0.30,0.00,0.00,1.7403,0.5000,0.5000,14.70
270125,5.47,13.76,167,816,0.31,2.30,4.17,4.31,0.00,8,14.60,1.00,14.71,0.30,0.00,0.00,1.7380,0.5000,0.5000,14.70
270229,5.47,13.84,167,808,0.31,2.30,4.15,4.31,0.00,8,14.60,1.00,14.71,0.30,0.00,0.00,1.7415,0.5000,0.5000,14.70
270333,5.47,13.84,167,804,0.31,2.30,4.17,4.31,0.00,8,14.60,1.00,14.71,0.30,0.00,0.00,1.7458,0.5000,0.5000,14.70
270437,5.47,13.84,167,804,0.31,2.56,4.15,4.31,0.00,8,14.60,1.00,14.71,0.30,0.00,0.00,1.7438,0.5000,0.5000,14.70
270544,5.47,13.76,167,786,0.31,2.56,4.15,4.31,0.00,8,14.60,1.00,14.71,0.30,0.00,0.00,1.7508,0.5000,0.5000,14.70
270646,5.47,13.84,167,787,0.32,2.56,4.15,4.31,0.00,8,14.60,1.00,14.71,0.31,0.00,0.00,1.7608,0.5000,0.5000,14.70
270750,5.47,13.84,167,781,0.32,2.56,4.15,4.31,0.00,8,14.80,1.00,14.71,0.31,0.00,0.00,1.7637,0.5000,0.5000,14.70
270853,5.47,13.76,167,791,0.31,2.56,4.15,4.31,0.00,8,14.70,1.00,14.71,0.31,0.00,0.00,1.7745,0.5000,0.5000,14.70
270957,5.47,13.76,167,805,0.31,2.56,4.15,4.31,0.00,8,14.70,1.00,14.71,0.31,0.00,0.00,1.7712,0.5000,0.5000,14.70
271061,5.47,13.84,167,800,0.31,2.56,4.15,4.31,0.00,8,14.70,1.00,14.71,0.31,0.00,0.00,1.7663,0.5000,0.5000,14.70
