Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Learning Airflow Range (Current)* (offset),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),IAM (4-byte)* (multiplier),Mass Airflow (g/s),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Atmospheric Pressure (psi),CL/OL Fueling* (status),Closed Loop Fueling Target (4-byte)* (estimated AFR),Engine Load (4-Byte)* (g/rev),Engine Load (Calculated) (g/rev),Feedback Knock Correction (4-byte)* (degrees),Gear (Calculated)* (position),Intake Air Temperature (F),Intake VVT Advance Angle Right (degrees),Knock Correction Advance (degrees),Knock Sum* (count),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Final Fueling Base (4-byte)* (lambda),Ignition Total Timing (degrees)
83008,-7.81,0.00,1,13.68,192,1263,0.5000,5.56,12.70,14.36,8,14.60,0.27,0.26,0.00,3,118,0,0.00,8,5.66,5.10,1.00,19.50
83112,0.00,0.00,1,13.52,192,1212,0.5000,5.56,12.70,14.36,8,14.60,0.27,0.27,0.00,3,118,0,0.00,8,5.66,5.10,1.00,18.00
83216,0.00,0.00,1,13.68,192,1167,0.5000,5.52,12.70,14.36,10,14.60,0.27,0.28,0.00,3,118,0,0.00,8,5.66,5.10,1.00,17.00
83320,0.00,0.78,1,13.60,192,1153,0.5000,5.49,12.70,14.36,10,14.61,0.28,0.28,0.00,3,118,0,0.00,8,5.80,5.10,1.00,17.00
83424,0.00,0.78,1,13.60,192,1114,0.5000,5.49,13.00,14.36,10,14.61,0.28,0.28,0.00,3,118,0,0.00,8,5.95,4.71,1.00,17.00
83528,0.00,0.78,1,12.72,192,1049,0.5000,5.30,13.40,14.36,10,14.63,0.29,0.30,0.00,3,118,0,0.00,8,5.95,4.71,1.00,22.00
83632,0.00,0.78,1,13.12,192,950,0.5000,5.27,13.80,14.36,10,14.65,0.30,0.33,0.00,3,118,0,0.00,8,6.24,4.71,1.00,22.00
83737,0.00,3.12,1,13.60,192,867,0.5000,5.23,13.90,14.36,10,14.67,0.31,0.35,0.00,3,118,0,0.00,8,6.38,5.10,0.91,22.00
83840,0.00,3.12,1,13.68,192,961,0.5000,5.39,17.20,14.36,10,14.68,0.33,0.36,0.00,3,118,0,0.00,8,6.82,5.10,1.00,22.00
83945,0.00,3.12,1,13.60,192,1133,0.5000,5.43,21.20,14.36,10,14.65,0.32,0.30,0.00,3,118,0,0.00,8,6.96,5.10,1.00,12.00
84049,0.00,3.12,1,13.52,192,1237,0.5000,5.33,23.70,14.36,10,14.61,0.29,0.26,0.00,3,118,0,0.00,8,6.53,4.71,1.07,17.00
84153,0.00,3.12,1,13.60,192,1276,0.5000,5.11,18.40,14.36,10,14.60,0.27,0.24,0.00,3,118,0,0.00,8,6.24,4.71,1.00,17.00
84257,0.00,3.12,1,13.60,192,1255,0.5000,5.17,13.80,14.36,10,14.60,0.26,0.25,0.00,3,118,0,0.00,8,5.95,5.10,1.00,17.00
84360,0.00,3.12,1,13.68,192,1240,0.5000,5.33,13.00,14.36,10,14.60,0.26,0.26,0.00,3,118,0,0.00,8,5.95,5.10,1.00,17.00
84464,-2.34,3.12,1,13.60,192,1230,0.5000,5.36,12.90,14.36,8,14.60,0.26,0.26,0.00,3,118,0,0.00,8,5.95,5.10,1.00,17.00
84568,-5.47,3.12,1,13.52,192,1220,0.5000,5.36,12.90,14.36,8,14.60,0.26,0.26,0.00,3,118,0,0.00,8,5.80,5.10,1.00,17.00
84672,-5.47,3.12,1,13.60,192,1207,0.5000,5.30,13.20,14.36,8,14.60,0.26,0.27,0.00,3,118,0,0.00,8,5.80,5.10,1.00,17.00
84777,-5.47,3.12,1,13.60,192,1203,0.5000,5.27,13.30,14.36,8,14.60,0.26,0.26,0.00,3,118,0,0.00,8,5.80,4.71,1.00,17.00
84881,-5.47,3.12,1,13.44,192,1187,0.5000,5.17,13.50,14.36,8,14.60,0.26,0.26,0.00,3,118,0,0.00,8,5.80,4.71,1.00,17.00
84985,-6.25,3.12,1,13.68,192,1178,0.5000,5.17,13.60,14.36,8,14.61,0.26,0.26,0.00,3,118,0,0.00,8,5.80,4.71,1.00,17.00
85089,-6.25,3.12,1,13.60,192,1158,0.5000,5.11,13.80,14.36,8,14.61,0.26,0.27,0.00,3,118,0,0.00,8,5.80,4.71,1.00,17.00
85193,-7.03,3.12,1,13.52,192,1142,0.5000,5.11,13.80,14.36,8,14.61,0.26,0.27,0.00,3,118,0,0.00,8,5.80,5.10,1.00,17.00
85297,-7.81,3.12,1,13.60,192,1134,0.5000,5.11,13.90,14.36,8,14.62,0.27,0.27,0.00,3,118,0,0.00,8,5.80,4.71,1.00,17.00
85400,-8.59,3.12,1,13.60,192,1122,0.5000,4.99,14.00,14.36,8,14.62,0.27,0.27,0.00,3,118,0,0.00,8,5.80,4.71,1.00,17.00
85505,-9.38,3.12,1,13.44,192,1104,0.5000,4.96,13.90,14.36,8,14.62,0.27,0.27,0.00,3,118,0,0.00,8,5.80,4.71,1.00,17.00
85609,-10.16,3.12,1,13.52,192,1082,0.5000,4.93,13.90,14.36,8,14.63,0.27,0.27,0.00,3,118,0,0.00,8,5.80,4.71,1.00,17.00
85713,-10.16,3.12,1,13.44,192,1073,0.5000,4.93,13.80,14.36,8,14.63,0.27,0.28,0.00,3,118,0,0.00,8,5.80,4.71,1.00,17.00
85817,-10.94,3.12,1,13.68,192,1062,0.5000,4.86,13.80,14.36,8,14.63,0.27,0.27,0.00,3,118,0,0.00,8,5.95,4.71,1.00,21.00
85921,-10.94,3.12,1,13.60,192,1050,0.5000,4.83,13.80,14.36,8,14.63,0.27,0.27,0.00,3,118,0,0.00,8,5.95,4.71,1.00,21.50
86025,-11.72,3.12,1,13.52,192,1048,0.5000,4.83,13.90,14.36,8,14.64,0.27,0.28,0.00,3,118,0,0.00,8,5.95,4.71,1.00,21.50
86129,-11.72,3.12,1,13.60,192,1042,0.5000,4.80,13.80,14.36,8,14.64,0.27,0.28,0.00,3,118,0,0.00,8,6.09,4.71,1.00,21.00
86233,-12.50,3.12,1,13.44,192,1027,0.5000,4.80,13.90,14.36,8,14.64,0.27,0.28,0.00,3,118,0,0.00,8,6.09,4.71,1.00,20.50
86337,-12.50,3.12,1,13.60,192,998,0.5000,4.80,13.90,14.36,8,14.65,0.28,0.28,0.00,3,118,0,0.00,8,6.09,4.71,1.00,22.00
86441,-13.28,3.12,1,13.60,192,990,0.5000,4.80,13.90,14.36,8,14.65,0.28,0.29,0.00,3,118,0,0.00,8,6.24,4.71,1.00,22.00
86545,-13.28,3.12,1,13.60,192,978,0.5000,4.86,13.90,14.36,8,14.65,0.29,0.30,0.00,3,118,0,0.00,8,6.38,5.10,1.00,22.00
86649,-13.28,3.12,1,13.52,192,972,0.5000,4.99,14.10,14.36,8,14.66,0.29,0.31,0.00,3,118,0,0.00,8,6.53,5.10,1.00,22.00
86753,-13.28,3.12,1,13.60,192,971,0.5000,4.99,14.10,14.36,8,14.65,0.30,0.31,0.00,3,118,0,0.00,8,6.67,5.10,1.00,22.00
86857,-13.28,3.12,1,13.52,192,967,0.5000,4.99,14.20,14.36,8,14.66,0.30,0.31,0.00,3,118,0,0.00,8,6.82,5.10,1.00,22.00
86961,-13.28,3.12,1,13.52,192,951,0.5000,4.96,14.30,14.36,8,14.66,0.30,0.31,0.00,3,118,0,0.00,8,6.82,5.10,1.00,22.00
87065,-13.28,3.12,1,13.52,192,950,0.5000,4.93,14.30,14.36,8,14.66,0.30,0.31,0.00,3,118,0,0.00,8,6.96,5.10,1.00,22.00
87169,-13.28,3.12,1,13.60,192,934,0.5000,4.86,14.40,14.36,8,14.66,0.31,0.31,0.00,3,118,0,0.00,8,6.96,4.71,1.00,22.00
87273,-12.50,3.12,1,13.60,192,914,0.5000,4.86,14.50,14.36,8,14.67,0.31,0.31,0.00,3,118,0,0.00,8,6.96,5.10,1.00,22.00
87377,-12.50,3.12,1,13.44,192,913,0.5000,4.80,14.40,14.36,8,14.67,0.31,0.32,0.00,3,118,0,0.00,8,7.11,4.71,1.00,22.00
87481,-12.50,3.12,1,13.52,192,920,0.5000,4.80,14.70,14.36,8,14.67,0.31,0.31,0.00,3,118,0,0.00,8,7.11,4.71,1.00,22.00
87585,-11.72,3.12,1,13.52,192,968,0.5000,4.77,14.80,14.36,8,14.66,0.31,0.29,0.00,3,118,0,0.00,8,7.11,4.71,1.00,19.00
87689,-11.72,3.12,1,13.68,192,1001,0.5000,4.74,14.70,14.36,8,14.65,0.30,0.29,0.00,3,118,0,0.00,8,6.96,4.71,1.00,17.00
87793,-11.72,3.12,1,13.68,192,1007,0.5000,4.74,14.90,14.36,8,14.65,0.29,0.28,0.00,3,118,0,0.00,8,6.96,4.71,1.00,16.00
87897,-10.94,3.12,1,13.60,192,1040,0.5000,4.74,15.00,14.36,8,14.64,0.28,0.27,0.00,3,118,0,0.00,8,6.82,5.10,1.00,15.50
88001,-10.94,3.12,1,13.52,192,1039,0.5000,4.80,15.00,14.36,8,14.64,0.28,0.27,0.00,3,118,0,0.00,8,6.67,5.10,1.00,14.50
88105,-10.16,3.12,1,13.52,192,1058,0.5000,4.83,15.00,14.36,8,14.64,0.28,0.27,0.00,3,118,0,0.00,8,6.67,5.10,1.00,15.00
88209,-10.16,3.12,1,13.60,192,1038,0.5000,4.80,15.00,14.36,8,14.64,0.28,0.28,0.00,3,118,0,0.00,8,6.53,4.71,1.00,14.50
88314,-9.38,3.12,1,13.60,192,1021,0.5000,4.68,14.90,14.36,8,14.64,0.28,0.28,0.00,3,118,0,0.00,8,6.38,4.71,1.00,16.50
88418,-8.59,3.12,1,13.60,192,1004,0.5000,4.63,15.30,14.36,8,14.64,0.27,0.27,0.00,3,118,0,0.00,8,6.38,4.71,1.00,16.50
88523,-8.59,3.12,1,13.52,192,982,0.5000,4.63,15.20,14.36,8,14.65,0.27,0.28,0.00,2,118,0,0.00,8,6.53,4.71,1.00,17.50
88627,-8.59,3.12,1,13.52,192,974,0.5000,4.71,15.20,14.36,8,14.65,0.28,0.29,0.00,2,118,0,0.00,8,6.67,5.10,1.00,18.00
88731,-7.81,3.12,1,13.60,192,981,0.5000,4.80,15.30,14.36,8,14.66,0.28,0.29,0.00,2,118,0,0.00,8,6.82,5.10,1.00,17.00
88835,-7.81,3.12,1,13.60,192,990,0.5000,4.80,15.30,14.36,8,14.65,0.29,0.29,0.00,2,118,0,0.00,8,6.82,5.10,1.00,17.00
88940,-7.81,3.12,1,13.52,192,1010,0.5000,4.80,15.20,14.36,8,14.65,0.29,0.29,0.00,2,118,0,0.00,8,6.82,5.10,1.00,17.00
89045,-7.03,3.12,1,13.60,192,1018,0.5000,4.77,15.20,14.36,8,14.65,0.28,0.28,0.00,2,118,0,0.00,8,6.82,5.10,1.00,16.50
89148,-7.03,3.12,1,13.60,192,1003,0.5000,4.74,15.20,14.36,8,14.65,0.28,0.28,0.00,2,118,0,0.00,8,6.82,5.10,1.00,16.50
89253,-6.25,3.12,1,13.60,192,1000,0.5000,4.74,15.30,14.36,8,14.65,0.28,0.28,0.00,2,118,0,0.00,8,6.82,5.10,1.00,17.00
89356,-6.25,3.12,1,13.68,192,1013,0.5000,4.74,15.30,14.36,8,14.65,0.28,0.28,0.00,2,118,0,0.00,8,6.82,5.10,1.00,17.00
89460,-5.47,3.12,1,13.68,192,1005,0.5000,4.74,15.30,14.36,8,14.65,0.28,0.28,0.00,2,118,0,0.00,8,6.82,5.10,1.00,16.50
89564,-5.47,3.12,1,13.60,192,987,0.5000,4.74,15.20,14.36,8,14.65,0.28,0.29,0.00,2,118,0,0.00,8,6.82,5.10,1.00,17.00
89668,-5.47,3.12,1,13.44,192,996,0.5000,4.74,15.30,14.36,8,14.65,0.28,0.29,0.00,2,118,0,0.00,8,6.82,5.10,1.00,17.00
89772,-4.69,3.12,1,13.68,192,991,0.5000,4.83,15.30,14.36,8,14.65,0.29,0.30,0.00,2,118,0,0.00,8,6.82,5.88,1.00,17.50
89876,-4.69,3.12,1,13.52,192,986,0.5000,5.17,15.10,14.36,8,14.65,0.29,0.32,0.00,2,118,0,0.00,8,6.96,5.88,1.00,19.50
89980,-4.69,3.12,1,13.68,192,1002,0.5000,5.46,15.10,14.36,8,14.65,0.31,0.32,0.00,2,118,0,0.00,8,7.25,6.27,1.00,21.00
90085,-4.69,3.12,2,13.52,192,1030,0.5000,5.62,15.10,14.36,8,14.65,0.31,0.33,0.00,2,118,0,0.00,8,7.55,6.67,1.00,21.50
90188,-4.69,3.12,2,13.60,192,1064,0.5000,5.94,14.90,14.36,8,14.64,0.32,0.34,0.00,2,118,0,0.00,8,7.69,7.06,0.99,21.50
90292,-3.12,2.34,2,13.60,192,1078,0.5000,6.07,15.00,14.36,8,14.63,0.33,0.35,0.00,2,118,0,0.00,8,7.98,7.06,0.99,22.50
90396,-2.34,2.34,2,13.52,192,1085,0.5000,6.07,15.30,14.36,8,14.63,0.33,0.34,0.00,2,118,0,0.00,8,7.98,6.67,0.99,22.50
90500,0.00,2.34,2,13.60,192,1108,0.5000,5.95,15.60,14.36,8,14.63,0.33,0.32,0.00,2,118,0,0.00,8,7.98,6.67,0.99,23.00
90604,1.56,2.34,2,13.60,192,1119,0.5000,5.95,16.00,14.36,8,14.62,0.32,0.31,0.00,2,118,0,0.00,8,7.84,6.67,0.99,23.00
90708,2.34,2.34,2,13.60,192,1140,0.5000,5.98,16.30,14.36,8,14.62,0.32,0.31,0.00,2,118,0,0.00,8,7.69,6.67,1.00,23.00
90812,3.12,2.34,2,13.60,192,1156,0.5000,6.07,16.10,14.36,8,14.62,0.32,0.31,0.00,2,118,0,0.00,8,7.69,6.67,1.00,23.00
90917,3.91,0.00,2,13.68,192,1167,0.5000,6.38,16.00,14.36,8,14.61,0.32,0.33,0.00,2,118,0,0.00,8,7.69,7.45,1.00,23.50
91020,4.69,0.00,2,13.68,192,1174,0.5000,6.64,15.80,14.36,8,14.61,0.33,0.34,0.00,2,118,0,0.00,8,7.84,7.45,0.99,24.00
91124,6.25,0.00,2,13.60,192,1191,0.5000,6.71,15.70,14.36,8,14.61,0.33,0.34,0.00,2,118,0,0.00,8,7.98,7.45,0.99,24.00
91228,9.38,0.00,2,13.52,192,1223,0.5000,7.01,15.50,14.36,8,14.60,0.34,0.35,0.00,2,118,0,0.00,8,8.13,9.02,0.99,24.50
91333,11.72,0.00,2,13.60,192,1253,0.5000,7.84,15.70,14.36,8,14.60,0.36,0.39,0.00,2,118,0,0.00,8,8.71,9.80,0.99,25.00
91437,13.28,0.00,2,13.60,192,1279,0.5000,8.55,15.90,14.36,8,14.60,0.38,0.40,0.00,2,118,0,0.00,8,9.29,9.80,0.99,26.00
91541,14.84,0.00,2,13.60,192,1313,0.5000,8.63,16.00,14.36,8,14.60,0.39,0.39,0.00,2,118,0,0.00,8,9.43,9.80,0.99,27.00
91645,19.53,0.00,2,13.52,192,1357,0.5000,8.72,16.10,14.36,8,14.59,0.39,0.39,0.00,2,118,0,0.00,8,9.43,9.80,0.99,28.00
91749,22.66,0.00,2,13.52,192,1417,0.5000,8.81,16.20,14.36,8,14.59,0.38,0.37,0.00,2,118,0,0.00,8,9.29,9.80,0.99,28.50
91854,21.09,0.00,2,13.60,192,1427,0.5000,8.89,15.70,14.36,8,14.59,0.38,0.37,0.00,2,118,0,0.00,8,9.14,9.80,0.99,29.00
91957,18.75,0.00,2,13.60,192,1452,0.5000,9.39,15.10,14.36,8,14.59,0.38,0.39,0.00,2,118,0,0.00,8,9.14,10.20,0.99,29.00
92062,18.75,0.00,2,13.44,192,1453,0.5000,9.56,14.50,14.36,8,14.59,0.39,0.39,0.00,2,118,0,0.00,8,9.14,10.20,0.99,29.50
92165,17.97,0.00,2,13.52,192,1476,0.5000,9.74,14.30,14.36,8,14.58,0.39,0.39,0.00,2,118,0,0.00,8,9.29,10.20,0.99,30.00
92269,17.97,0.00,2,13.36,192,1486,0.5000,9.79,14.30,14.36,8,14.58,0.39,0.40,0.00,2,118,0,0.00,8,9.14,10.20,0.99,30.00
92373,17.19,0.00,2,13.52,192,1476,0.5000,9.79,14.40,14.36,8,14.58,0.40,0.40,0.00,2,118,0,0.00,8,9.14,10.20,0.99,30.00
92477,14.84,0.00,2,13.52,192,1490,0.5000,9.87,14.20,14.36,8,14.58,0.40,0.40,0.00,2,118,0,0.00,8,9.14,10.20,0.99,30.50
92581,14.06,0.00,2,13.52,192,1480,0.5000,9.96,14.00,14.36,8,14.58,0.40,0.40,0.00,2,118,0,0.00,8,9.14,10.20,0.99,30.00
92686,12.50,0.00,3,13.52,192,1507,0.5000,10.34,14.00,14.36,8,14.58,0.41,0.42,0.00,2,118,0,0.00,8,9.29,10.98,0.99,30.50
92789,12.50,0.00,3,13.52,192,1508,0.5000,10.82,14.10,14.36,8,14.58,0.42,0.43,0.00,2,118,0,0.00,8,9.43,10.98,0.99,31.00
92893,13.28,0.00,3,13.52,192,1530,0.5000,10.78,14.10,14.36,8,14.58,0.42,0.42,0.00,2,118,0,0.00,8,9.58,10.98,0.99,32.00
92998,13.28,0.00,3,13.52,192,1558,0.5000,10.78,14.50,14.36,8,14.58,0.42,0.42,0.00,2,118,0,0.00,8,9.58,10.98,0.99,32.50
93102,13.28,0.00,3,13.52,192,1555,0.5000,10.82,14.50,14.36,8,14.58,0.42,0.42,0.00,2,118,0,0.00,8,9.58,10.98,0.99,32.50
93205,12.50,0.00,3,13.52,192,1565,0.5000,10.97,14.40,14.36,8,14.58,0.42,0.42,0.00,2,118,0,0.00,8,9.58,10.98,0.99,32.50
93310,11.72,0.00,3,13.60,192,1587,0.5000,11.21,14.30,14.36,8,14.58,0.42,0.43,0.00,2,118,0,0.00,8,9.43,10.98,0.99,33.00
93413,11.72,0.00,3,13.60,192,1594,0.5000,11.26,14.40,14.36,8,14.58,0.42,0.42,0.00,2,118,0,0.00,8,9.58,10.98,0.99,33.00
93518,11.72,0.00,3,13.52,192,1588,0.5000,11.12,14.40,14.36,8,14.58,0.42,0.42,0.00,2,118,0,0.00,8,9.58,10.98,0.99,33.00
93622,11.72,0.00,3,13.52,192,1587,0.5000,11.31,14.40,14.36,8,14.58,0.42,0.43,0.00,2,118,0,0.00,8,9.58,10.98,0.99,33.00
93726,11.72,0.00,3,13.52,192,1604,0.5000,11.31,14.50,14.36,8,14.58,0.42,0.43,0.00,2,118,0,0.00,8,9.58,11.76,0.99,33.50
93830,10.94,0.00,3,13.60,192,1614,0.5000,12.03,14.40,14.36,8,14.58,0.44,0.46,0.00,2,118,0,0.00,8,9.87,12.55,0.99,34.00
93933,11.72,0.00,3,13.68,192,1636,0.5000,12.83,14.40,14.36,8,14.57,0.46,0.48,0.00,2,118,0,0.00,8,10.16,13.33,0.99,35.00
94038,13.28,0.00,3,13.52,192,1647,0.5000,12.83,15.10,14.36,8,14.57,0.46,0.47,0.00,2,118,0,0.00,8,10.59,13.33,0.99,36.00
94142,14.84,0.00,3,13.52,192,1679,0.5000,12.99,15.10,14.36,8,14.57,0.46,0.46,0.00,2,118,0,0.00,8,10.59,13.73,0.99,36.50
94246,16.41,0.00,3,13.44,192,1701,0.5000,12.99,15.10,14.36,8,14.57,0.46,0.46,0.00,2,118,0,0.00,8,10.59,13.73,0.99,36.50
94350,16.41,0.00,3,13.52,192,1717,0.5000,13.31,15.00,14.36,8,14.57,0.46,0.46,0.00,2,118,0,0.00,8,10.45,13.73,0.99,37.00
94454,17.19,0.00,3,13.60,192,1730,0.5000,13.42,14.80,14.36,8,14.57,0.46,0.46,0.00,2,118,0,0.00,8,10.45,13.73,0.99,37.00
94558,17.19,0.00,3,13.52,192,1735,0.5000,13.48,14.80,14.36,8,14.57,0.46,0.46,0.00,2,118,0,0.00,8,10.30,13.73,0.99,37.00
94662,17.19,0.00,3,13.44,192,1744,0.5000,13.54,14.80,14.36,8,14.57,0.46,0.46,0.00,2,118,1,0.00,8,10.30,13.73,0.99,37.50
94766,17.19,0.00,3,13.44,192,1750,0.5000,13.48,14.60,14.36,8,14.57,0.46,0.46,0.00,2,118,1,0.00,8,10.30,13.73,0.99,37.50
94870,17.19,0.00,3,13.52,192,1754,0.5000,13.48,14.50,14.36,8,14.57,0.46,0.45,0.00,2,118,1,0.00,8,10.30,13.73,0.99,37.50
94974,17.19,0.00,3,13.60,192,1757,0.5000,13.42,14.50,14.36,8,14.57,0.46,0.45,0.00,2,118,1,0.00,8,10.16,12.94,0.99,37.00
95078,17.19,0.00,3,13.36,192,1757,0.5000,13.04,14.50,14.36,8,14.57,0.45,0.45,0.00,2,118,1,0.00,8,9.87,12.55,0.99,37.00
95182,16.41,0.00,3,13.52,192,1760,0.5000,12.94,14.40,14.36,8,14.57,0.45,0.44,0.00,2,118,1,0.00,8,9.72,12.16,0.99,36.50
95285,15.62,0.00,3,13.44,192,1752,0.5000,12.88,14.30,14.36,8,14.57,0.44,0.44,0.00,2,118,2,0.00,8,9.58,12.16,0.99,36.50
95389,14.06,0.00,3,13.60,192,1748,0.5000,12.77,14.10,14.36,8,14.57,0.44,0.44,0.00,2,118,2,0.00,8,9.58,12.16,0.99,36.00
95494,13.28,0.00,3,13.60,192,1746,0.5000,12.83,14.10,14.36,8,14.57,0.44,0.44,0.00,2,118,2,0.00,8,9.58,11.76,0.99,36.00
95598,13.28,0.00,3,13.44,192,1746,0.5000,12.40,14.20,14.36,8,14.57,0.43,0.43,0.00,2,118,2,0.00,8,9.29,11.37,0.99,36.00
95702,11.72,0.00,3,13.52,192,1738,0.5000,12.35,14.20,14.36,8,14.57,0.43,0.43,0.00,2,118,2,0.00,8,9.14,11.37,0.99,35.50
95806,10.16,0.00,3,13.52,192,1742,0.5000,11.81,14.10,14.36,8,14.57,0.42,0.41,0.00,2,118,2,0.00,8,8.85,10.59,0.99,35.00
95909,8.59,0.00,3,13.60,192,1735,0.5000,11.60,13.90,14.36,8,14.57,0.41,0.40,0.00,2,118,3,0.00,8,8.71,10.20,0.99,34.50
96014,7.03,0.00,3,13.60,192,1730,0.5000,11.51,13.90,14.36,8,14.57,0.41,0.40,0.00,2,117,3,0.00,8,8.56,10.20,0.99,34.00
96118,5.47,0.00,3,13.68,192,1720,0.5000,11.41,13.80,14.36,8,14.57,0.40,0.40,0.00,2,117,3,0.00,8,8.42,10.20,0.99,34.00
96222,4.69,0.00,3,13.36,192,1725,0.5000,11.31,14.00,14.36,8,14.57,0.40,0.40,0.00,2,117,3,0.00,8,8.42,10.59,0.99,34.00
96327,4.69,0.00,3,13.52,192,1724,0.5000,11.51,14.00,14.36,8,14.57,0.40,0.40,0.00,2,117,4,0.00,8,8.42,10.59,0.99,33.50
96431,4.69,0.00,3,13.60,192,1729,0.5000,11.50,14.10,14.36,8,14.57,0.40,0.40,0.00,2,117,4,0.00,8,8.42,10.59,0.99,33.50
96535,4.69,0.00,3,13.60,192,1728,0.5000,11.50,14.40,14.36,8,14.57,0.40,0.40,0.00,2,117,4,0.00,8,8.42,10.59,0.99,33.50
96639,5.47,0.00,3,13.60,192,1734,0.5000,11.50,14.40,14.36,8,14.57,0.40,0.40,0.00,2,117,4,0.00,8,8.42,10.98,0.99,34.00
96743,5.47,0.00,3,13.52,192,1733,0.5000,12.02,14.70,14.36,8,14.57,0.41,0.43,0.00,2,117,5,0.00,8,8.71,11.76,0.99,34.00
96847,6.25,0.00,3,13.52,192,1742,0.5000,12.45,14.90,14.36,8,14.57,0.42,0.44,0.00,2,117,4,0.00,8,9.00,12.16,0.99,35.00
96951,7.81,0.00,3,13.60,190,1757,0.5000,12.45,15.30,14.36,8,14.57,0.43,0.43,0.00,2,117,5,0.00,8,9.14,12.16,0.99,35.50
97055,10.16,0.00,3,13.60,192,1771,0.5000,12.83,15.30,14.36,8,14.57,0.43,0.44,0.00,2,117,5,0.00,8,9.43,12.55,0.99,36.00
97159,11.72,0.00,3,13.60,192,1787,0.5000,13.04,15.50,14.36,8,14.57,0.44,0.44,0.00,2,117,6,0.00,8,9.43,12.55,0.99,36.50
97263,13.28,0.00,3,13.52,192,1796,0.5000,13.10,15.50,14.36,8,14.57,0.44,0.44,0.00,2,117,6,0.00,8,9.43,12.55,0.99,36.50
97367,14.06,0.00,3,13.52,192,1798,0.5000,12.99,15.10,14.36,8,14.57,0.44,0.44,0.00,2,117,6,0.00,8,9.43,12.55,0.99,36.50
97471,14.06,0.00,3,13.52,192,1803,0.5000,12.99,15.00,14.36,8,14.57,0.43,0.44,0.00,2,117,6,0.00,8,9.43,12.55,0.99,36.50
97575,14.84,0.00,3,13.60,192,1793,0.5000,13.15,15.00,14.36,8,14.57,0.44,0.44,0.00,2,117,7,0.00,8,9.43,12.55,0.99,36.50
97679,14.84,0.00,3,13.60,192,1794,0.5000,13.20,14.80,14.36,8,14.57,0.44,0.44,0.00,2,117,7,0.00,8,9.43,12.55,0.99,37.00
97783,14.84,0.00,3,13.52,192,1796,0.5000,13.10,14.50,14.36,8,14.57,0.44,0.43,0.00,2,117,7,0.00,8,9.43,12.55,0.99,36.50
97888,14.84,0.00,3,13.52,192,1801,0.5000,13.04,14.50,14.36,8,14.57,0.44,0.43,0.00,2,117,7,0.00,8,9.43,12.55,0.99,36.50
97991,14.84,0.00,3,13.60,192,1824,0.5000,13.10,14.40,14.36,8,14.57,0.43,0.43,0.00,2,117,7,0.00,8,9.43,12.55,0.99,36.50
98095,14.84,0.00,3,13.60,192,1826,0.5000,13.15,14.50,14.36,8,14.57,0.43,0.44,0.00,2,117,8,0.00,8,9.43,12.55,0.99,36.50
98199,14.84,0.00,3,13.60,192,1826,0.5000,13.26,14.50,14.36,8,14.57,0.43,0.44,0.00,2,117,8,0.00,8,9.43,12.55,0.99,37.00
98303,14.84,0.00,3,13.44,192,1814,0.5000,13.48,14.50,14.36,8,14.57,0.44,0.44,0.00,2,117,9,0.00,8,9.58,12.94,0.99,37.00
98407,14.84,0.00,3,13.60,192,1821,0.5000,13.71,14.70,14.36,8,14.57,0.44,0.45,0.00,2,117,9,0.00,8,9.72,12.94,0.99,37.50
98511,16.41,0.00,3,13.60,192,1832,0.5000,13.83,15.40,14.36,8,14.57,0.45,0.45,0.00,2,117,9,0.00,8,9.72,12.94,0.99,37.50
98615,16.41,0.00,3,13.60,192,1852,0.5000,13.77,14.80,14.36,8,14.57,0.45,0.45,0.00,2,117,10,0.00,8,9.72,12.94,0.99,37.50
98719,16.41,0.00,3,13.60,192,1852,0.5000,13.77,14.90,14.36,8,14.57,0.45,0.45,0.00,2,117,9,0.00,8,9.72,12.94,0.99,38.00
98823,16.41,0.00,3,13.44,192,1838,0.5000,13.71,14.50,14.36,8,14.57,0.45,0.45,0.00,2,117,10,0.00,8,9.72,13.33,0.99,38.00
98927,16.41,0.00,3,13.60,192,1836,0.5000,13.89,14.50,14.36,8,14.57,0.45,0.45,0.00,2,117,10,0.00,8,9.72,13.33,0.99,38.00
99031,16.41,0.00,3,13.52,192,1842,0.5000,13.77,14.50,14.36,8,14.57,0.45,0.45,0.00,2,117,10,0.00,8,9.87,13.33,0.99,37.50
99135,17.19,0.00,3,13.60,192,1857,0.5000,14.00,14.50,14.36,8,14.57,0.45,0.46,0.00,2,117,11,0.00,8,9.87,13.73,0.99,38.00
99239,17.19,0.00,3,13.52,192,1861,0.5000,14.12,14.50,14.36,8,14.57,0.46,0.46,0.00,2,117,11,0.00,8,10.01,14.12,0.99,38.00
99344,17.97,0.00,3,13.44,192,1861,0.5000,14.23,14.50,14.36,8,14.57,0.46,0.45,0.00,2,117,11,0.00,8,10.16,14.12,0.99,38.50
99447,18.75,0.00,3,13.60,192,1870,0.5000,14.41,14.80,14.36,8,14.57,0.46,0.46,0.00,2,117,11,0.00,8,10.16,14.12,0.99,38.50
