Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),Atmospheric Pressure (psi),CL/OL Fueling* (status),Closed Loop Fueling Target (4-byte)* (estimated AFR),Coolant Temperature (F),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Intake VVT Advance Angle Right (degrees),Knock Correction Advance (degrees),Knock Sum* (count),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Throttle Opening Angle (%),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Fine Learning Knock Correction (4-byte)* (degrees),Fine Learning Table Offset* (index position),Ignition Base Timing* (degrees),Throttle Plate Opening Angle (4-byte)* (%),IAM (1-byte)** (multiplier)
130277,-2.34,0.00,14.51,8,14.58,185,0.57,1986,0.00,42.50,124,17,0.00,4,10.74,18.98,14.51,14.10,0.00,1,44.12,13.91,0.5000
130379,-2.34,0.00,14.51,8,14.58,185,0.57,1982,0.00,42.50,124,17,0.00,4,10.88,20.11,15.29,14.40,0.00,1,43.98,14.92,0.5000
130481,0.00,0.00,14.51,8,14.58,185,0.59,2010,0.00,41.50,124,17,0.00,4,11.61,22.15,17.25,14.50,0.00,1,42.97,17.10,0.5000
130583,3.91,0.00,14.51,8,14.57,185,0.63,2029,0.00,40.00,124,17,0.00,4,12.19,22.61,18.82,15.50,0.00,1,41.89,18.12,0.5000
130685,6.25,0.00,14.51,8,14.57,185,0.65,2078,0.00,39.50,124,17,0.00,4,12.48,23.46,19.61,15.50,0.00,1,41.39,18.85,0.5000
130786,8.59,0.00,14.51,8,14.57,185,0.67,2086,0.00,39.00,122,15,0.00,4,12.62,23.59,20.00,15.70,0.00,1,41.09,19.14,0.5000
130889,8.59,0.00,14.51,8,14.56,185,0.67,2122,0.00,39.00,122,10,0.00,4,12.62,23.58,20.00,15.10,0.00,1,41.11,19.14,0.5000
130990,8.59,0.00,14.51,8,14.56,185,0.67,2115,0.00,39.00,122,7,0.00,4,12.62,24.07,20.00,14.60,0.00,1,41.05,18.99,0.5000
131093,8.59,0.00,14.51,8,14.56,185,0.67,2146,0.00,39.00,122,6,0.00,4,12.62,24.47,20.00,14.50,0.00,1,40.86,19.09,0.5000
131195,8.59,0.00,14.51,8,14.56,185,0.68,2160,0.00,38.50,122,5,0.00,4,12.62,25.33,20.00,14.20,0.00,1,40.68,19.12,0.5000
131297,7.81,0.00,14.51,8,14.56,185,0.69,2158,0.00,38.50,122,4,0.00,4,12.77,25.21,21.18,14.30,0.00,1,40.33,19.87,0.5000
131399,7.81,0.00,14.51,8,14.56,185,0.69,2171,0.00,38.00,122,3,0.00,4,12.91,23.14,20.78,14.40,0.00,1,40.26,19.87,0.5000
131501,7.03,0.00,14.51,8,14.56,185,0.70,2200,0.00,38.00,122,2,0.00,4,12.91,25.82,20.78,14.30,0.00,1,40.10,19.87,0.5000
131603,6.25,0.00,14.51,8,14.56,185,0.70,2168,0.00,38.00,122,2,0.00,4,12.91,25.70,20.78,14.40,0.00,1,40.01,19.87,0.5000
131705,5.47,0.00,14.51,8,14.56,185,0.71,2172,0.00,38.00,122,2,0.00,4,12.77,26.07,20.78,14.30,0.00,1,39.97,19.87,0.5000
131806,5.47,0.00,14.51,8,14.56,185,0.71,2202,0.00,38.00,122,1,0.00,4,12.77,25.33,20.78,14.20,0.00,1,39.96,19.58,0.5000
131909,3.91,0.00,14.51,8,14.56,185,0.70,2208,0.00,38.00,122,1,0.00,4,12.77,25.82,20.39,14.30,0.00,1,40.05,19.29,0.5000
132011,3.91,0.00,14.51,8,14.56,185,0.70,2199,0.00,38.00,122,1,0.00,4,12.62,25.82,20.00,14.20,0.00,1,40.08,19.09,0.5000
132113,3.12,0.00,14.51,8,14.56,185,0.70,2210,0.00,38.00,120,1,0.00,4,12.62,26.56,20.00,14.40,0.00,1,40.08,19.14,0.5000
132215,3.12,0.00,14.51,8,14.56,185,0.71,2233,0.00,38.00,120,0,0.00,4,12.62,26.06,20.00,14.50,0.00,1,40.07,19.14,0.5000
132316,3.12,0.00,14.51,8,14.56,185,0.71,2239,0.00,38.00,120,0,0.00,4,12.62,25.95,20.00,14.40,0.00,1,40.02,19.14,0.5000
132419,3.12,0.00,14.51,8,14.56,185,0.70,2229,0.00,38.00,120,0,0.00,4,12.62,26.06,20.00,14.30,0.00,1,40.07,19.14,0.5000
132521,3.12,0.00,14.51,8,14.56,185,0.70,2233,0.00,38.00,120,0,0.00,4,12.62,26.31,20.00,14.30,0.00,1,40.07,19.14,0.5000
132624,3.12,0.00,14.51,8,14.56,185,0.70,2240,0.00,38.00,120,1,0.00,4,12.62,26.34,20.00,14.60,0.00,1,40.07,19.14,0.5000
132725,3.12,0.00,14.51,8,14.56,185,0.70,2266,0.00,38.00,120,1,0.00,4,12.62,26.34,20.00,14.50,0.00,1,40.05,19.14,0.5000
132827,3.91,0.00,14.51,8,14.56,185,0.71,2276,0.00,38.00,120,1,0.00,4,12.62,26.70,20.00,14.50,0.00,1,40.07,19.14,0.5000
132929,3.12,0.00,14.51,8,14.56,185,0.71,2287,0.00,38.00,120,1,0.00,4,12.62,26.95,20.00,14.50,0.00,1,40.05,19.14,0.5000
133031,3.91,0.00,14.51,8,14.56,185,0.71,2298,0.00,38.00,120,1,0.00,4,12.62,26.95,20.00,14.40,0.00,1,40.03,19.14,0.5000
133133,3.91,0.00,14.51,8,14.56,185,0.71,2290,0.00,38.00,120,1,0.00,4,12.62,27.07,20.00,14.40,0.00,1,40.07,19.14,0.5000
133235,3.91,0.00,14.51,8,14.56,185,0.71,2296,0.00,38.00,120,2,0.00,4,12.62,26.95,20.00,14.50,0.00,1,40.08,19.14,0.5000
133337,4.69,0.00,14.51,8,14.56,185,0.71,2308,0.00,38.00,118,2,0.00,4,12.62,27.47,20.00,14.50,0.00,1,40.07,19.29,0.5000
133440,4.69,0.00,14.51,8,14.56,185,0.71,2318,0.00,38.00,118,2,0.00,4,12.62,27.84,20.39,14.50,0.00,1,40.07,19.43,0.5000
133541,5.47,0.00,14.51,8,14.56,185,0.71,2325,0.00,38.00,118,3,0.00,4,12.62,27.59,20.39,14.50,0.00,1,40.06,19.29,0.5000
133643,5.47,0.00,14.51,8,14.56,185,0.71,2330,0.00,38.00,118,3,0.00,4,12.62,27.84,20.39,14.40,0.00,1,40.07,19.43,0.5000
133744,5.47,0.00,14.51,8,14.56,185,0.71,2299,0.00,38.00,118,4,0.00,4,12.62,25.65,20.39,14.50,0.00,1,39.96,19.28,0.5000
133847,5.47,0.00,14.51,8,14.56,185,0.73,2167,0.00,22.50,118,5,0.50,4,12.91,27.22,20.39,14.60,0.00,1,39.31,19.29,0.5000
133949,3.12,0.00,14.51,8,14.56,185,0.76,2052,0.00,37.00,118,6,0.50,4,13.20,26.48,20.39,14.30,0.00,1,38.34,19.29,0.5000
134051,1.56,0.00,14.51,8,14.56,185,0.77,2014,0.00,37.00,118,7,1.00,4,13.20,25.74,20.00,14.20,0.00,1,37.96,19.14,0.5000
134153,0.00,0.00,14.51,8,14.56,185,0.78,1948,0.00,37.00,118,7,1.00,4,13.35,25.38,20.00,13.90,0.00,1,37.70,19.14,0.5000
134255,-1.56,0.00,14.51,8,14.57,185,0.78,1932,0.00,36.50,118,9,1.50,4,13.35,25.01,20.00,13.80,0.00,1,37.31,19.14,0.5000
134357,-3.12,0.00,14.51,8,14.57,185,0.78,1922,0.00,36.50,118,9,1.50,4,13.35,24.76,20.00,13.80,0.00,1,37.26,19.14,0.5000
134459,-3.12,0.00,14.51,8,14.57,185,0.78,1896,0.00,36.50,118,10,1.50,4,13.35,24.76,20.00,13.90,0.00,1,37.37,19.14,0.5000
134561,-3.91,0.00,14.51,8,14.57,185,0.78,1891,0.00,36.50,118,11,1.50,4,13.49,24.63,20.00,14.10,0.00,1,37.34,19.14,0.5000
134663,-3.91,0.00,14.51,8,14.57,185,0.78,1892,0.00,36.50,118,11,1.50,4,13.49,24.51,20.00,14.20,0.00,1,37.28,19.14,0.5000
134765,-3.91,0.00,14.51,8,14.57,185,0.78,1906,0.00,36.50,117,11,1.50,4,13.49,24.63,20.00,14.30,0.00,1,37.37,19.14,0.5000
134867,-3.12,0.00,14.51,8,14.57,185,0.77,1907,0.00,36.50,117,12,1.50,4,13.49,24.63,20.00,14.30,0.00,1,37.32,19.14,0.5000
134969,-3.91,0.00,14.51,8,14.57,185,0.77,1893,0.00,36.50,117,13,1.50,4,13.35,23.65,20.00,14.50,0.00,1,37.56,17.98,0.5000
135071,-4.69,0.00,14.51,8,14.57,185,0.76,1884,0.00,37.00,117,13,1.00,4,12.62,21.99,17.25,14.40,0.00,1,38.15,15.95,0.5000
135173,-7.03,0.00,14.51,8,14.57,185,0.73,1873,0.00,37.00,117,14,1.00,4,12.33,21.98,16.47,14.20,0.00,1,38.51,15.65,0.5000
135275,-7.81,0.00,14.51,8,14.57,185,0.71,1849,0.00,37.00,117,14,1.00,4,12.33,21.87,16.47,14.00,0.00,1,38.50,15.65,0.5000
135378,-7.81,0.00,14.51,8,14.57,185,0.71,1836,0.00,37.00,117,15,1.00,4,12.33,21.98,16.47,13.90,0.00,1,38.28,15.80,0.5000
135479,-7.81,0.00,14.51,8,14.58,185,0.72,1826,0.00,37.00,117,15,1.00,4,12.33,21.75,16.47,14.20,0.00,1,38.18,15.65,0.5000
135581,-7.81,0.00,14.51,8,14.57,185,0.72,1808,0.00,37.00,117,16,1.00,4,12.33,21.86,16.47,14.30,0.00,1,38.30,15.65,0.5000
135683,-7.81,0.00,14.51,8,14.57,185,0.72,1805,0.00,37.00,117,16,1.00,4,12.33,21.55,16.47,14.40,0.00,1,38.31,15.65,0.5000
135786,-7.81,0.00,14.51,8,14.57,185,0.72,1804,0.00,37.00,117,17,1.00,4,12.33,21.55,16.47,14.50,0.00,1,38.31,15.65,0.5000
135888,-7.81,0.00,14.51,8,14.57,185,0.71,1804,0.00,37.00,117,17,1.00,4,12.33,20.87,16.47,14.50,0.00,1,38.49,15.65,0.5000
135989,-7.81,0.00,14.51,8,14.57,185,0.70,1802,0.00,37.50,117,18,1.00,4,12.33,20.87,16.47,14.60,0.00,1,38.60,15.65,0.5000
136091,-7.81,0.00,14.51,8,14.57,185,0.70,1800,0.00,37.50,117,18,1.00,4,12.19,18.47,16.47,14.50,0.00,1,38.68,13.99,0.5000
136194,-7.81,0.00,14.51,8,14.57,185,0.67,1780,0.00,38.50,117,18,0.50,4,10.01,14.01,10.20,14.60,0.00,1,40.87,8.25,0.5000
136295,-9.38,0.00,14.51,8,14.58,185,0.58,1688,0.00,39.50,117,17,0.00,4,8.85,11.13,7.45,14.50,0.00,1,38.67,7.23,0.5000
136398,-12.50,0.00,14.51,8,14.58,185,0.49,1580,0.00,31.50,117,14,0.00,4,8.13,9.72,7.06,13.60,0.00,1,29.97,6.50,0.5000
136500,-14.84,0.00,14.51,8,14.58,185,0.44,1518,0.00,26.00,115,9,0.00,4,7.55,9.03,6.27,13.10,0.00,1,24.73,6.06,0.5000
136602,-16.41,0.00,14.51,8,14.58,185,0.40,1464,0.00,22.50,115,6,0.00,4,7.11,8.77,6.27,12.90,0.00,1,21.64,6.06,0.5000
136704,0.00,0.00,14.51,10,14.59,185,0.38,1408,0.00,19.50,115,5,0.00,4,6.96,8.91,6.27,12.70,0.00,1,18.64,6.06,0.5000
136807,0.00,0.00,14.51,10,14.59,185,0.38,1320,0.00,17.50,115,4,0.00,4,6.96,8.45,6.27,12.70,0.00,1,17.55,5.77,0.5000
136908,0.00,0.00,14.51,10,14.60,185,0.39,1274,0.00,17.50,115,2,0.00,4,7.11,8.27,5.88,12.90,0.00,1,17.26,5.77,0.5000
137011,0.00,0.00,14.51,10,14.60,185,0.39,1243,0.00,17.00,115,0,0.00,4,7.25,8.18,5.88,13.60,0.00,1,17.11,5.63,0.5000
137112,0.00,0.00,14.51,10,14.61,185,0.40,1113,0.00,17.00,115,0,0.00,4,7.40,7.91,5.88,14.00,0.00,1,16.91,5.63,0.5000
137214,0.00,0.00,14.51,10,14.64,185,0.41,1034,0.00,21.50,115,0,0.00,4,7.84,7.56,5.88,18.70,0.00,1,16.91,5.33,0.5000
137317,0.00,0.00,14.51,10,14.61,185,0.42,1205,0.00,16.50,115,0,0.00,4,7.69,7.18,5.49,18.00,0.00,1,16.94,5.19,0.5000
137418,0.00,0.00,14.51,10,14.60,185,0.39,1267,0.00,17.50,115,0,0.00,4,7.55,7.47,5.49,18.20,0.00,1,17.27,5.63,0.5000
137520,0.00,0.00,14.51,10,14.60,185,0.37,1318,0.00,17.50,115,0,0.00,4,7.25,7.42,5.88,13.80,0.00,1,17.60,5.77,0.5000
137623,-3.91,0.00,14.51,8,14.59,185,0.35,1344,0.00,17.50,115,0,0.00,4,7.11,7.51,5.88,12.50,0.00,1,17.64,5.77,0.5000
137724,-7.03,0.00,14.51,8,14.59,185,0.34,1346,0.00,17.50,115,0,0.00,4,6.96,7.47,5.88,12.30,0.00,1,17.62,5.77,0.5000
137827,-8.59,0.00,14.51,8,14.60,185,0.34,1307,0.00,17.50,115,0,0.00,4,6.82,7.37,5.88,12.30,0.00,1,17.51,5.77,0.5000
137928,-9.38,0.00,14.51,8,14.60,185,0.34,1290,0.00,17.50,115,0,0.00,4,6.82,6.93,5.88,12.50,0.00,1,17.44,5.77,0.5000
138031,-10.16,0.00,14.51,8,14.60,185,0.33,1280,0.00,17.50,115,0,0.00,4,6.82,7.18,5.88,12.70,0.00,1,17.34,5.77,0.5000
138133,-10.16,0.00,14.51,8,14.60,185,0.34,1251,0.00,17.00,115,0,0.00,4,6.96,7.08,5.88,12.90,0.00,1,17.13,5.63,0.5000
138234,-10.94,0.00,14.51,8,14.60,185,0.34,1244,0.00,17.00,115,0,0.00,4,6.96,6.79,5.88,13.10,0.00,1,17.08,5.63,0.5000
138337,-10.94,0.00,14.51,8,14.60,185,0.34,1222,0.00,17.00,115,0,0.00,4,6.96,6.74,5.88,13.40,0.00,1,16.97,5.63,0.5000
138438,-10.94,0.00,14.51,8,14.60,185,0.34,1216,0.00,17.00,115,0,0.00,4,6.96,6.79,5.88,13.60,0.00,1,16.92,5.63,0.5000
138540,-10.94,0.00,14.51,8,14.60,185,0.34,1201,0.00,17.00,115,0,0.00,4,6.96,6.74,5.88,13.80,0.00,1,16.91,5.63,0.5000
138643,-11.72,0.00,14.51,8,14.61,185,0.34,1187,0.00,17.00,115,0,0.00,4,7.11,6.49,5.88,14.00,0.00,1,16.91,5.48,0.5000
138745,-11.72,0.00,14.51,8,14.61,185,0.34,1177,0.00,17.00,115,0,0.00,4,7.11,6.49,5.88,14.10,0.00,1,16.91,5.48,0.5000
138847,-11.72,0.00,14.51,8,14.61,185,0.33,1174,0.00,17.00,117,0,0.00,4,7.11,6.49,5.88,14.20,0.00,1,16.91,5.48,0.5000
138950,-11.72,0.00,14.51,8,14.61,185,0.33,1174,0.00,17.00,117,0,0.00,4,7.11,6.20,5.88,14.30,0.00,1,16.91,5.48,0.5000
139052,-11.72,0.00,14.51,8,14.61,185,0.33,1161,0.00,17.00,117,0,0.00,4,7.11,6.30,5.88,14.30,0.00,1,16.91,5.48,0.5000
139154,-11.72,0.00,14.51,8,14.61,185,0.33,1157,0.00,17.00,117,0,0.00,4,7.25,6.30,5.88,14.40,0.00,1,16.91,5.48,0.5000
139256,-10.94,0.00,14.51,8,14.62,185,0.33,1150,0.00,19.50,117,0,0.00,4,7.25,6.30,5.49,14.40,0.00,1,16.91,5.48,0.5000
139358,-10.94,0.00,14.51,8,14.62,185,0.33,1141,0.00,20.50,117,0,0.00,4,7.25,6.05,5.49,14.40,0.00,1,16.91,5.33,0.5000
139460,-10.16,0.00,14.51,8,14.62,185,0.33,1122,0.00,21.00,117,0,0.00,4,7.25,5.91,5.49,14.30,0.00,1,16.91,5.33,0.5000
139562,-9.38,0.00,14.51,8,14.63,185,0.32,1106,0.00,21.50,117,0,0.00,4,7.25,5.93,5.49,15.00,0.00,1,16.91,5.33,0.5000
139664,-9.38,0.00,14.51,8,14.63,185,0.32,1087,0.00,22.00,117,0,0.00,4,7.25,5.83,5.49,14.80,0.00,1,16.91,5.34,0.5000
139766,-8.59,0.00,14.51,8,14.63,185,0.32,1070,0.00,21.50,117,0,0.00,4,7.25,5.81,5.49,15.00,0.00,1,16.91,5.19,0.5000
139868,-8.59,0.00,14.51,8,14.63,185,0.32,1049,0.00,22.00,117,0,0.00,4,7.40,5.81,5.49,15.10,0.00,1,16.91,5.34,0.5000
139970,-7.81,0.00,14.51,8,14.64,185,0.33,1044,0.00,22.00,117,0,0.00,4,7.40,5.79,5.49,15.10,0.00,1,16.91,5.19,0.5000
140072,-7.81,0.00,14.51,8,14.64,185,0.33,1019,0.00,22.00,117,0,0.00,4,7.55,5.74,5.49,15.20,0.00,1,16.91,5.04,0.5000
140173,-7.03,0.00,14.51,8,14.65,185,0.33,996,0.00,22.00,117,0,0.00,4,7.55,5.64,5.49,15.30,0.00,1,16.91,5.04,0.5000
140276,-7.03,0.00,14.51,8,14.65,185,0.34,994,0.00,22.00,117,0,0.00,4,7.69,5.76,5.49,15.40,0.00,1,16.91,5.48,0.5000
140378,-7.03,0.00,14.51,8,14.66,185,0.34,973,0.00,22.00,117,0,0.00,4,7.84,5.83,5.88,15.30,0.00,1,16.91,5.48,0.5000
140480,-7.03,0.00,14.51,8,14.66,185,0.35,960,0.00,22.00,117,0,0.00,4,8.13,5.76,5.88,15.40,0.00,1,16.91,5.63,0.5000
140582,-6.25,0.00,14.51,8,14.66,185,0.35,960,0.00,22.00,117,0,0.00,4,8.27,5.81,5.88,15.10,0.00,1,16.91,5.48,0.5000
140684,-6.25,0.00,14.51,8,14.66,185,0.36,950,0.00,22.00,117,0,0.00,4,8.42,5.71,5.88,15.10,0.00,1,16.91,5.48,0.5000
140786,-5.47,0.00,14.51,8,14.66,185,0.36,942,0.00,22.00,117,0,0.00,4,8.42,5.62,5.88,15.00,0.00,1,16.91,5.33,0.5000
140888,-5.47,0.00,14.51,8,14.66,185,0.36,935,0.00,22.00,117,0,0.00,4,8.56,5.67,5.49,15.10,0.00,1,16.91,5.33,0.5000
140991,-4.69,0.00,14.51,8,14.67,185,0.36,898,0.00,22.00,117,0,0.00,4,8.56,5.79,5.49,15.20,0.00,1,16.91,5.48,0.5000
141093,-3.91,0.00,14.51,8,14.67,185,0.37,885,0.00,22.00,117,0,0.00,4,8.71,5.71,5.49,15.30,0.00,1,16.91,5.33,0.5000
141195,-3.91,0.00,14.51,8,14.67,185,0.38,868,0.00,22.00,117,0,0.00,4,8.85,5.62,5.49,15.20,0.00,1,16.91,5.33,0.5000
141297,-3.12,0.00,14.51,8,14.68,185,0.38,887,0.00,22.00,117,0,0.00,4,8.85,5.62,5.49,15.50,0.00,1,16.91,5.19,0.5000
141399,-3.12,0.00,14.51,8,14.67,185,0.38,910,0.00,21.00,117,0,0.00,4,8.85,5.52,5.49,15.50,0.00,1,16.91,5.19,0.5000
141501,-2.34,0.00,14.51,8,14.66,185,0.37,961,0.00,17.00,117,0,0.00,4,8.71,5.59,5.49,15.50,0.00,1,16.91,5.33,0.5000
141602,-2.34,0.00,14.51,8,14.65,185,0.36,1006,0.00,16.50,117,0,0.00,4,8.56,5.59,5.49,15.40,0.00,1,16.91,5.33,0.5000
141705,-2.34,0.78,14.51,8,14.64,187,0.35,1019,0.00,14.50,117,0,0.00,4,8.42,5.71,5.88,15.40,0.00,1,16.91,5.63,0.5000
141807,-1.56,0.00,14.51,8,14.64,187,0.35,1012,0.00,14.50,117,0,0.00,4,8.42,5.71,5.88,15.20,0.00,1,16.91,5.63,0.5000
141909,-1.56,0.00,14.51,8,14.65,187,0.34,1001,0.00,16.50,118,0,0.00,4,8.42,5.71,5.88,15.20,0.00,1,16.91,5.63,0.5000
142011,-1.56,0.00,14.51,8,14.66,187,0.34,955,0.00,18.00,118,0,0.00,4,8.42,5.71,5.88,15.20,0.00,1,16.91,5.63,0.5000
142113,-0.78,0.00,14.51,8,14.66,187,0.35,936,0.00,19.50,118,0,0.00,4,8.56,5.67,5.88,15.10,0.00,1,16.91,5.48,0.5000
142215,0.00,0.00,14.51,8,14.67,187,0.36,908,0.00,21.00,118,0,0.00,4,8.71,5.57,5.88,15.10,0.00,1,16.91,5.48,0.5000
142317,0.00,0.00,14.51,8,14.67,187,0.36,890,0.00,21.00,118,0,0.00,4,8.71,5.48,5.49,15.40,0.00,1,16.91,5.33,0.5000
142419,0.78,0.00,14.51,8,14.68,187,0.36,886,0.00,22.00,118,0,0.00,4,8.85,5.45,5.49,15.30,0.00,1,16.91,5.33,0.5000
142521,0.78,0.78,14.51,8,14.68,187,0.37,867,0.00,22.00,118,0,0.00,4,8.85,5.52,5.49,15.50,0.00,1,16.91,5.33,0.5000
142623,0.78,0.78,14.51,8,14.68,187,0.37,863,0.00,22.00,118,0,0.00,4,9.00,5.52,5.49,15.40,0.00,1,16.91,5.33,0.5000
142725,0.78,0.78,14.51,8,14.68,187,0.37,854,0.00,22.00,118,0,0.00,4,9.00,5.57,5.49,15.30,0.00,1,16.91,5.33,0.5000
142827,0.78,1.56,14.51,8,14.69,187,0.38,822,0.00,22.00,118,0,0.00,4,9.14,5.52,5.49,15.30,0.00,1,16.91,5.34,0.5000
142929,1.56,1.56,14.51,8,14.69,187,0.39,816,0.00,22.00,118,0,0.00,4,9.29,5.55,5.49,15.20,0.00,1,16.91,5.34,0.5000
143031,1.56,1.56,14.51,8,14.69,187,0.40,804,0.00,22.00,118,0,0.00,4,9.43,5.48,5.49,15.10,0.00,1,16.91,5.19,0.5000
143133,1.56,1.56,14.51,8,14.69,187,0.40,800,0.00,22.00,118,0,0.00,4,9.43,5.31,5.49,15.10,0.00,1,16.91,5.19,0.5000
143235,1.56,1.56,14.51,8,14.69,187,0.40,803,0.00,22.00,118,0,0.00,4,9.43,5.24,5.49,15.00,0.00,1,16.91,5.19,0.5000
143337,1.56,2.34,14.51,8,14.69,187,0.40,799,0.00,22.00,118,0,0.00,4,9.58,5.26,5.49,15.10,0.00,1,16.91,5.19,0.5000
143439,1.56,2.34,14.51,8,14.69,187,0.40,800,0.00,22.00,118,0,0.00,4,9.58,5.38,5.49,15.00,0.00,1,16.91,5.19,0.5000
143542,1.56,2.34,14.51,8,14.69,187,0.40,796,0.00,22.00,118,0,0.00,4,9.58,5.43,5.49,15.00,0.00,1,16.91,5.19,0.5000
143643,1.56,2.34,14.51,8,14.69,187,0.40,790,0.00,21.50,118,0,0.00,4,9.58,5.43,5.49,14.90,0.00,1,16.91,5.19,0.5000
143745,1.56,2.34,14.51,8,14.69,187,0.40,808,0.00,21.00,118,0,0.00,4,9.58,5.43,5.49,14.80,0.00,1,16.91,5.19,0.5000
143848,1.56,3.12,14.51,8,14.69,187,0.40,814,0.00,19.00,118,0,0.00,4,9.58,5.45,5.49,14.80,0.00,1,16.91,5.19,0.5000
143949,1.56,3.12,14.51,8,14.69,187,0.40,826,0.00,17.50,118,0,0.00,4,9.58,5.43,5.49,14.80,0.00,1,16.91,5.19,0.5000
144051,1.56,3.12,14.51,8,14.69,187,0.40,832,0.00,17.00,118,0,0.00,4,9.58,5.43,5.49,14.80,0.00,1,16.91,5.33,0.5000
144153,1.56,3.12,14.51,8,14.69,187,0.40,815,0.00,17.50,118,0,0.00,4,9.58,5.50,5.49,14.80,0.00,1,16.91,5.33,0.5000
144255,1.56,5.47,14.51,8,14.69,187,0.40,814,0.00,18.00,118,0,0.00,4,9.58,5.43,5.49,14.70,0.00,1,16.91,5.33,0.5000
144357,1.56,5.47,14.51,8,14.69,187,0.40,814,0.00,18.00,118,0,0.00,4,9.58,5.45,5.49,15.00,0.00,1,16.91,5.19,0.5000
144459,1.56,5.47,14.51,8,14.69,187,0.40,799,0.00,19.00,118,0,0.00,4,9.58,5.43,5.49,14.70,0.00,1,16.91,5.19,0.5000
144561,0.78,5.47,14.51,8,14.69,187,0.40,798,0.00,18.50,118,0,0.00,4,9.58,5.45,5.49,14.40,0.00,1,16.91,5.19,0.5000
144663,0.78,5.47,14.51,8,14.69,187,0.41,792,0.00,17.50,118,0,0.00,4,9.72,5.74,5.49,14.50,0.00,1,18.38,6.35,0.5000
144766,0.78,4.69,14.51,8,14.69,187,0.41,789,0.00,20.00,118,0,0.00,4,10.59,8.09,11.37,14.60,0.00,1,21.82,12.15,0.5000
144867,0.00,4.69,14.51,8,14.64,187,0.48,852,0.00,25.50,118,0,0.00,4,12.91,10.25,15.69,14.40,0.00,1,27.60,15.65,0.5000
144970,-2.34,4.69,14.51,8,14.62,187,0.54,984,0.00,28.00,118,0,0.00,4,13.64,9.96,16.86,14.40,0.00,1,29.68,16.09,0.5000
145072,-5.47,3.91,14.51,8,14.61,187,0.55,1151,0.00,29.50,118,0,0.00,4,13.35,10.30,16.86,14.10,0.00,1,31.41,15.65,0.5000
145173,-2.34,3.91,14.51,8,14.60,187,0.54,1222,0.00,30.50,118,0,0.00,4,13.20,11.49,16.47,13.70,0.00,1,32.21,15.65,0.5000
145276,3.91,3.91,14.51,8,14.60,187,0.54,1244,0.00,31.50,118,0,0.00,4,13.20,12.46,16.47,14.10,0.00,1,32.91,15.65,0.5000
145378,13.28,3.91,14.51,8,14.60,187,0.56,1258,0.00,31.50,120,0,0.00,4,13.06,10.25,16.47,15.50,0.00,1,32.97,15.51,0.5000
145480,15.62,3.91,14.51,8,14.60,187,0.58,1313,0.00,32.00,120,0,0.50,4,13.06,12.72,16.47,16.50,0.00,1,34.12,15.51,0.5000
145581,14.06,3.12,14.51,8,14.59,187,0.58,1375,0.00,33.50,120,0,0.50,4,12.91,13.73,16.47,17.10,0.00,1,36.25,15.51,0.5000
145684,10.94,3.12,14.51,8,14.59,187,0.58,1446,0.00,35.00,120,0,0.50,4,12.77,14.61,16.47,15.30,0.00,1,37.13,15.51,0.5000
145785,10.16,3.12,14.51,8,14.58,187,0.59,1476,0.00,36.50,120,0,0.50,4,12.77,14.69,16.86,13.80,0.00,1,38.14,15.37,0.5000
145888,9.38,3.12,14.51,8,14.58,187,0.59,1515,0.00,36.50,120,0,0.50,4,12.48,14.83,15.69,13.80,0.00,1,38.35,15.07,0.5000
145989,7.81,3.12,14.51,8,14.58,187,0.59,1524,0.00,37.50,120,0,0.50,4,12.48,15.20,15.69,14.10,0.00,1,39.14,15.07,0.5000
146091,6.25,2.34,14.51,8,14.58,187,0.59,1556,0.00,37.50,120,0,0.50,4,12.33,15.71,16.08,13.90,0.00,1,39.19,15.22,0.5000
146193,5.47,2.34,14.51,8,14.58,187,0.60,1579,0.00,38.00,120,0,0.50,4,12.33,15.88,16.08,14.00,0.00,1,39.77,15.22,0.5000
146296,4.69,2.34,14.51,8,14.58,187,0.60,1583,0.00,38.50,120,0,0.50,4,12.33,15.71,15.69,14.10,0.00,1,40.36,14.93,0.5000
146398,3.91,2.34,14.51,8,14.58,187,0.59,1612,0.00,39.00,120,0,0.50,4,12.19,15.97,15.69,14.10,0.00,1,40.51,15.07,0.5000
146500,3.91,2.34,14.51,8,14.58,187,0.59,1634,0.00,39.00,120,0,0.50,4,12.19,16.75,15.69,14.20,0.00,1,40.51,15.22,0.5000
146602,3.91,2.34,14.51,8,14.58,187,0.60,1654,0.00,39.00,120,0,0.50,4,12.19,16.75,16.08,14.30,0.00,1,40.59,15.07,0.5000
146704,3.91,0.00,14.51,8,14.58,187,0.60,1659,0.00,39.00,120,0,0.50,4,12.04,16.85,15.69,14.30,0.00,1,40.72,14.93,0.5000
146806,3.12,0.00,14.51,8,14.58,187,0.60,1676,0.00,39.00,120,0,0.50,4,12.04,17.34,15.69,14.40,0.00,1,40.79,14.92,0.5000
