Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Learning #1 A (Stored)* (%),A/F Learning #1 B (Stored)* (%),A/F Learning #1 C (Stored)* (%),A/F Learning #1 D (Stored)* (%),A/F Learning Airflow Range (Current)* (offset),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),IAM (4-byte)* (multiplier),Mass Airflow (g/s),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
20328,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,700,0.5000,3.03,14.80
20402,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,700,0.5000,3.03,14.80
20478,0.00,2.34,2.10,0.00,0.00,0.00,1,13.92,189,701,0.5000,3.03,14.80
20552,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,703,0.5000,3.03,14.80
20628,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,698,0.5000,3.03,14.80
20703,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,705,0.5000,3.03,14.80
20778,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,712,0.5000,3.03,14.80
20853,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,707,0.5000,3.03,14.80
20928,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,705,0.5000,3.03,14.80
21004,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,696,0.5000,3.03,14.80
21078,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,706,0.5000,3.03,14.90
21152,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,701,0.5000,3.03,14.90
21228,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,697,0.5000,3.03,14.80
21303,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,694,0.5000,3.03,14.80
21378,0.78,2.34,2.10,0.00,0.00,0.00,1,13.92,189,704,0.5000,3.03,14.80
21453,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,701,0.5000,3.03,14.80
21528,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,702,0.5000,3.03,14.80
21603,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,705,0.5000,3.03,14.80
21678,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,700,0.5000,3.03,14.80
21753,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,708,0.5000,3.03,14.80
21828,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,712,0.5000,3.03,14.80
21903,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,707,0.5000,3.03,14.80
21978,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,706,0.5000,3.03,14.80
22053,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,702,0.5000,3.03,14.80
22128,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,705,0.5000,3.03,14.70
22203,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,700,0.5000,3.03,14.80
22278,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,712,0.5000,3.03,14.70
22353,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,705,0.5000,3.03,14.70
22428,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,716,0.5000,3.03,14.80
22503,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,720,0.5000,3.03,14.70
22578,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,712,0.5000,3.03,14.80
22653,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,701,0.5000,3.03,14.80
22728,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,696,0.5000,3.03,14.80
22803,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,690,0.5000,3.03,14.70
22878,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,696,0.5000,3.03,14.70
22953,0.00,2.34,2.10,0.00,0.00,0.00,1,13.92,189,696,0.5000,3.03,14.70
23028,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,688,0.5000,3.03,14.80
23103,0.78,2.34,2.10,0.00,0.00,0.00,1,13.68,189,691,0.5000,3.03,14.80
23178,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,691,0.5000,3.03,14.80
23253,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,700,0.5000,3.03,14.80
23328,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,697,0.5000,3.03,14.80
23403,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,700,0.5000,3.03,14.80
23478,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,700,0.5000,3.03,14.80
23553,0.00,2.34,2.10,0.00,0.00,0.00,1,13.92,189,694,0.5000,3.03,14.80
23628,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,703,0.5000,3.00,14.70
23703,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,696,0.5000,3.03,14.90
23778,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,709,0.5000,3.03,14.80
23853,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,704,0.5000,3.00,14.80
23928,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,700,0.5000,3.03,14.80
24003,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,709,0.5000,3.00,14.80
24078,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,711,0.5000,3.03,14.80
24153,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,720,0.5000,3.03,14.80
24228,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,721,0.5000,3.03,14.80
24303,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,719,0.5000,3.03,14.80
24378,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,726,0.5000,3.03,14.70
24453,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,719,0.5000,3.03,14.70
24528,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,719,0.5000,3.03,14.70
24603,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,714,0.5000,3.03,14.70
24678,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,716,0.5000,3.03,14.70
24753,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,709,0.5000,3.03,14.70
24828,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,709,0.5000,3.03,14.70
24903,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,708,0.5000,3.03,14.70
24978,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,716,0.5000,3.03,14.80
25053,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,706,0.5000,3.05,14.80
25128,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,710,0.5000,3.03,14.80
25203,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,701,0.5000,3.03,14.80
25278,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,694,0.5000,3.03,14.80
25353,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,696,0.5000,3.03,14.80
25428,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,698,0.5000,3.03,14.70
25503,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,710,0.5000,3.03,14.70
25578,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,717,0.5000,3.03,14.70
25653,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,717,0.5000,3.03,14.70
25728,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,714,0.5000,3.03,14.70
25803,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,716,0.5000,3.03,14.70
25878,0.00,2.34,2.10,0.00,0.00,0.00,1,13.92,189,716,0.5000,3.03,14.70
25953,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,712,0.5000,3.03,14.70
26029,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,712,0.5000,3.03,14.70
26103,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,702,0.5000,3.03,14.80
26178,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,707,0.5000,3.03,14.70
26253,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,713,0.5000,3.03,14.70
26328,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,709,0.5000,3.03,14.70
26403,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,702,0.5000,3.03,14.60
26478,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,699,0.5000,3.03,14.70
26553,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,702,0.5000,3.03,14.70
26628,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,700,0.5000,3.03,14.80
26703,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,702,0.5000,3.03,14.70
26779,0.00,2.34,2.10,0.00,0.00,0.00,1,13.92,189,700,0.5000,3.03,14.80
26853,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,708,0.5000,3.03,14.80
26928,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,708,0.5000,3.03,14.80
27003,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,701,0.5000,3.03,14.70
27079,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,696,0.5000,3.03,14.70
27154,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,692,0.5000,3.03,14.70
27228,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,702,0.5000,3.03,14.70
27304,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,705,0.5000,3.03,14.80
27379,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,714,0.5000,3.03,14.80
27454,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,707,0.5000,3.03,14.80
27529,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,711,0.5000,3.03,14.80
27603,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,716,0.5000,3.03,14.80
27679,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,726,0.5000,3.03,14.80
27753,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,721,0.5000,3.03,14.80
27829,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,706,0.5000,3.03,14.80
27904,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,710,0.5000,3.03,14.70
27979,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,714,0.5000,3.03,14.80
28054,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,722,0.5000,3.03,14.80
28128,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,717,0.5000,3.03,14.90
28204,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,725,0.5000,3.03,14.80
28279,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,717,0.5000,3.03,14.80
28354,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,726,0.5000,3.03,14.80
28429,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,720,0.5000,3.03,14.80
28503,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,720,0.5000,3.03,14.70
28579,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,718,0.5000,3.03,14.70
28654,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,723,0.5000,3.03,14.70
28729,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,719,0.5000,3.03,14.80
28804,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,714,0.5000,3.03,14.70
28879,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,716,0.5000,3.03,14.70
28954,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,717,0.5000,3.03,14.70
29028,0.00,2.34,2.10,0.00,0.00,0.00,1,13.52,189,717,0.5000,3.03,14.80
29104,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,713,0.5000,3.03,14.90
29179,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,712,0.5000,3.03,14.70
29253,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,707,0.5000,3.03,14.70
29328,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,701,0.5000,3.03,14.80
29404,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,694,0.5000,3.03,14.70
29478,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,688,0.5000,3.03,14.80
29554,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,699,0.5000,3.03,14.80
29628,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,702,0.5000,3.03,14.80
29703,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,700,0.5000,3.03,14.80
29778,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,692,0.5000,3.03,14.70
29854,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,689,0.5000,3.03,14.70
29928,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,696,0.5000,3.03,14.80
30004,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,692,0.5000,3.03,14.70
30079,0.00,2.34,2.10,0.00,0.00,0.00,1,13.52,189,698,0.5000,3.03,14.70
30154,0.00,2.34,2.10,0.00,0.00,0.00,1,13.92,189,701,0.5000,3.03,14.70
30229,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,702,0.5000,3.03,14.70
30304,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,709,0.5000,3.03,14.70
30379,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,710,0.5000,3.03,14.70
30454,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,703,0.5000,3.03,14.70
30529,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,705,0.5000,3.03,14.80
30603,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,710,0.5000,3.03,14.90
30679,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,706,0.5000,3.03,14.80
30754,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,708,0.5000,3.03,14.80
30829,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,708,0.5000,3.03,14.80
30904,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,714,0.5000,3.03,14.80
30979,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,714,0.5000,3.03,14.70
31054,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,699,0.5000,3.03,14.70
31129,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,701,0.5000,3.03,14.90
31204,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,706,0.5000,3.03,14.80
31279,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,713,0.5000,3.03,14.70
31354,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,709,0.5000,3.03,14.70
31429,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,715,0.5000,3.03,14.80
31504,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,707,0.5000,3.03,14.80
31579,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,705,0.5000,3.03,14.90
31654,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,701,0.5000,3.03,14.90
31729,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,705,0.5000,3.03,14.80
31804,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,699,0.5000,3.03,14.80
31879,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,694,0.5000,3.03,14.80
31954,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,690,0.5000,3.03,14.80
32030,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,695,0.5000,3.03,14.80
32104,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,702,0.5000,3.03,15.00
32179,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,701,0.5000,3.00,14.80
32254,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,698,0.5000,3.03,14.80
32329,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,694,0.5000,3.03,14.70
32404,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,704,0.5000,3.03,14.80
32478,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,700,0.5000,3.03,14.80
32554,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,688,0.5000,3.03,14.80
32629,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,700,0.5000,3.03,14.80
32704,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,704,0.5000,3.03,14.80
32779,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,705,0.5000,3.03,14.80
32854,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,710,0.5000,3.03,14.80
32929,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,714,0.5000,3.03,14.70
33004,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,708,0.5000,3.03,14.80
33079,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,705,0.5000,3.03,14.80
33155,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,711,0.5000,3.03,14.80
33229,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,721,0.5000,3.03,14.80
33304,0.00,2.34,2.10,0.00,0.00,0.00,1,13.92,189,729,0.5000,3.03,14.80
33379,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,730,0.5000,3.03,14.80
33454,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,729,0.5000,3.03,14.80
33529,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,721,0.5000,3.03,14.70
33606,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,720,0.5000,3.03,14.70
33679,0.00,2.34,2.10,0.00,0.00,0.00,1,13.92,189,711,0.5000,3.03,14.80
33754,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,716,0.5000,3.05,14.80
33830,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,718,0.5000,3.03,14.80
33904,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,718,0.5000,3.05,14.70
33979,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,710,0.5000,3.03,14.80
34054,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,710,0.5000,3.03,14.80
34129,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,717,0.5000,3.03,14.70
34205,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,717,0.5000,3.03,14.80
34279,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,726,0.5000,3.05,14.80
34355,0.00,2.34,2.10,0.00,0.00,0.00,1,13.92,189,731,0.5000,3.03,14.80
34429,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,722,0.5000,3.03,14.70
34504,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,725,0.5000,3.03,14.70
34580,0.00,2.34,2.10,0.00,0.00,0.00,1,13.92,189,714,0.5000,3.07,14.70
34654,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,722,0.5000,3.07,14.70
34730,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,720,0.5000,3.07,14.70
34804,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,725,0.5000,3.03,14.70
34880,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,716,0.5000,3.05,14.70
34954,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,711,0.5000,3.03,14.70
35030,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,708,0.5000,3.03,14.80
35105,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,712,0.5000,3.03,14.70
35179,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,698,0.5000,3.03,14.70
35255,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,700,0.5000,3.03,14.70
35329,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,694,0.5000,3.03,14.70
35405,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,682,0.5000,3.03,14.80
35479,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,698,0.5000,3.03,14.70
35554,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,713,0.5000,3.03,14.70
35630,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,711,0.5000,3.03,14.80
35704,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,701,0.5000,3.03,14.70
35780,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,702,0.5000,3.03,14.80
35854,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,703,0.5000,3.03,14.80
35930,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,692,0.5000,3.03,14.70
36004,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,702,0.5000,3.03,14.70
36079,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,706,0.5000,3.03,14.70
36155,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,704,0.5000,3.03,14.70
36230,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,697,0.5000,3.03,14.80
36305,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,708,0.5000,3.03,14.70
36379,-0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,704,0.5000,3.03,14.70
36455,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,710,0.5000,3.03,14.70
36530,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,706,0.5000,3.03,14.70
36604,0.00,2.34,2.10,0.00,0.00,0.00,1,13.52,189,700,0.5000,3.03,14.70
36681,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,710,0.5000,3.03,14.90
36754,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,712,0.5000,3.03,14.90
36830,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,718,0.5000,3.03,14.80
36904,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,708,0.5000,3.03,14.80
36980,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,713,0.5000,3.03,14.70
37055,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,710,0.5000,3.03,14.70
37129,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,707,0.5000,3.03,14.80
37205,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,702,0.5000,3.03,14.90
37279,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,702,0.5000,3.03,14.80
37355,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,716,0.5000,3.03,14.80
37429,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,703,0.5000,3.03,14.80
37505,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,709,0.5000,3.05,14.80
37580,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,716,0.5000,3.03,14.80
37655,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,712,0.5000,3.03,14.80
37730,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,712,0.5000,3.03,14.80
37804,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,712,0.5000,3.03,14.80
37881,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,718,0.5000,3.03,14.80
37954,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,706,0.5000,3.03,14.80
38030,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,708,0.5000,3.03,14.80
38104,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,708,0.5000,3.03,14.80
38179,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,708,0.5000,3.03,14.80
38255,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,697,0.5000,3.03,14.80
38329,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,696,0.5000,3.03,14.80
38405,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,702,0.5000,3.03,14.80
38480,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,688,0.5000,3.03,14.90
38554,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,700,0.5000,3.03,14.90
38630,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,705,0.5000,3.03,14.80
38705,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,714,0.5000,3.03,14.90
38780,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,710,0.5000,3.03,14.80
38855,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,715,0.5000,3.03,14.80
38930,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,709,0.5000,3.03,14.80
39005,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,691,0.5000,3.03,14.80
39080,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,706,0.5000,3.03,14.80
39155,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,709,0.5000,3.03,14.80
39230,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,714,0.5000,3.03,14.70
39305,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,709,0.5000,3.03,14.70
39380,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,707,0.5000,3.03,14.80
39455,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,707,0.5000,3.03,14.80
39530,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,712,0.5000,3.03,14.80
39606,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,704,0.5000,3.03,14.80
39680,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,702,0.5000,3.03,14.80
39755,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,710,0.5000,3.03,14.80
39830,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,713,0.5000,3.03,14.80
39905,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,714,0.5000,3.03,14.80
39979,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,716,0.5000,3.03,15.20
40056,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,727,0.5000,3.03,15.20
40131,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,721,0.5000,3.03,14.80
40206,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,704,0.5000,3.03,14.80
40281,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,700,0.5000,3.03,14.80
40356,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,713,0.5000,3.03,14.80
40431,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,711,0.5000,3.03,14.70
40506,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,692,0.5000,3.03,14.80
40581,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,700,0.5000,3.03,14.80
40656,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,705,0.5000,3.03,14.80
40731,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,712,0.5000,3.03,14.70
40806,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,702,0.5000,3.03,14.80
40881,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,711,0.5000,3.03,14.80
